Sample Name,Drug,Growthrate
R6410,CAZ,0.00677
R6410,CAZ,0.00801
R6410,CAZ,0.00698
R6410,CAZ,0.00802
R6410,CAZ,0.0081
R6410,CAZ,0.00852
R6410,CRO,0.00781
R6410,CRO,0.0071
R6410,CRO,0.00686
R6410,CRO,0.00686
R6410,CRO,0.00829
R6410,CRO,0.00814
R6410,FEP,0.00562
R6410,FEP,0.00779
R6410,FEP,0.00759
R6410,FEP,0.00943
R6410,FEP,0.00799
R6410,FEP,0.00868
R6410,Control,0.00808
R6410,Control,0.00785
R6410,Control,0.0088
R6410,Control,0.00843
R6410,Control,0.00773
R6410,Control,0.00621
R6398,CAZ,0.00841
R6398,CAZ,0.00922
R6398,CAZ,0.00956
R6398,CAZ,0.00955
R6398,CAZ,0.0088
R6398,CAZ,0.00932
R6398,CRO,0.00884
R6398,CRO,0.00905
R6398,CRO,0.00922
R6398,CRO,0.00993
R6398,CRO,0.00952
R6398,CRO,0.00955
R6398,FEP,0.00776
R6398,FEP,0.00802
R6398,FEP,0.00807
R6398,FEP,0.00685
R6398,FEP,0.00667
R6398,FEP,0.00641
R6398,Control,0.00922
R6398,Control,0.00948
R6398,Control,0.00919
R6398,Control,0.00913
R6398,Control,0.00937
R6398,Control,0.00883
R6249,CAZ,0.00773
R6249,CAZ,0.00715
R6249,CAZ,0.00761
R6249,CAZ,0.00638
R6249,CAZ,0.00709
R6249,CAZ,0.0071
R6249,CRO,0.00619
R6249,CRO,0.00654
R6249,CRO,0.00687
R6249,CRO,0.00705
R6249,CRO,0.00754
R6249,CRO,0.00712
R6249,FEP,0.00778
R6249,FEP,0.0073
R6249,FEP,0.00725
R6249,FEP,0.00694
R6249,FEP,0.00679
R6249,FEP,0.00725
R6249,Control,0.00662
R6249,Control,0.00677
R6249,Control,0.00672
R6249,Control,0.0076
R6249,Control,0.00686
R6249,Control,0.00709
R6015,CAZ,0.00641
R6015,CAZ,0.00585
R6015,CAZ,0.00542
R6015,CAZ,0.00553
R6015,CAZ,0.00497
R6015,CAZ,0.00544
R6015,CRO,0.00752
R6015,CRO,0.00774
R6015,CRO,0.0079
R6015,CRO,0.00763
R6015,CRO,0.00772
R6015,CRO,0.00743
R6015,FEP,0.00588
R6015,FEP,0.00652
R6015,FEP,0.00684
R6015,FEP,0.00607
R6015,FEP,0.00566
R6015,FEP,0.00549
R6015,Control,0.00709
R6015,Control,0.00743
R6015,Control,0.0077
R6015,Control,0.00749
R6015,Control,0.00573
R6015,Control,0.00683
R5959,CAZ,0.00593
R5959,CAZ,0.00618
R5959,CAZ,0.00627
R5959,CAZ,0.00625
R5959,CAZ,0.00622
R5959,CAZ,0.0061
R5959,CRO,0.00745
R5959,CRO,0.00773
R5959,CRO,0.00761
R5959,CRO,0.00841
R5959,CRO,0.00853
R5959,CRO,0.00853
R5959,FEP,0.00604
R5959,FEP,0.0066
R5959,FEP,0.00663
R5959,FEP,0.00643
R5959,FEP,0.00601
R5959,FEP,0.00636
R5959,Control,0.00767
R5959,Control,0.0078
R5959,Control,0.00816
R5959,Control,0.00778
R5959,Control,0.00737
R5959,Control,0.00714
R5821,CAZ,0.00805
R5821,CAZ,0.00813
R5821,CAZ,0.00856
R5821,CAZ,0.00854
R5821,CAZ,0.00846
R5821,CAZ,0.00818
R5821,CRO,0.00757
R5821,CRO,0.00807
R5821,CRO,0.00815
R5821,CRO,0.00829
R5821,CRO,0.00812
R5821,CRO,0.0088
R5821,FEP,0.00725
R5821,FEP,0.00797
R5821,FEP,0.0079
R5821,FEP,0.00751
R5821,FEP,0.00688
R5821,FEP,0.00785
R5821,Control,0.00782
R5821,Control,0.00815
R5821,Control,0.00811
R5821,Control,0.00794
R5821,Control,0.00811
R5821,Control,0.00793
R5593,CAZ,0.00867
R5593,CAZ,0.0086
R5593,CAZ,0.00852
R5593,CAZ,0.00892
R5593,CAZ,0.00874
R5593,CAZ,0.00864
R5593,CRO,0.0083
R5593,CRO,0.00842
R5593,CRO,0.00942
R5593,CRO,0.00835
R5593,CRO,0.0092
R5593,CRO,0.00929
R5593,FEP,0.0072
R5593,FEP,0.00847
R5593,FEP,0.00896
R5593,FEP,0.00906
R5593,FEP,0.00822
R5593,FEP,0.00936
R5593,Control,0.00949
R5593,Control,0.00912
R5593,Control,0.00967
R5593,Control,0.00876
R5593,Control,0.00891
R5593,Control,0.00844
R5580,CAZ,0.00771
R5580,CAZ,0.00911
R5580,CAZ,0.00827
R5580,CAZ,0.00827
R5580,CAZ,0.00832
R5580,CAZ,0.00807
R5580,CRO,0.00979
R5580,CRO,0.01122
R5580,CRO,0.01043
R5580,CRO,0.01195
R5580,CRO,0.01182
R5580,CRO,0.01183
R5580,FEP,0.01181
R5580,FEP,0.01128
R5580,FEP,0.00967
R5580,FEP,0.0099
R5580,FEP,0.00949
R5580,FEP,0.00973
R5580,Control,0.01131
R5580,Control,0.01014
R5580,Control,0.00991
R5580,Control,0.01109
R5580,Control,0.01133
R5580,Control,0.01078
R4608,CAZ,0.00678
R4608,CAZ,0.0046
R4608,CAZ,0.00768
R4608,CAZ,0.00809
R4608,CAZ,0.0036
R4608,CAZ,0.00647
R4608,CRO,0.00686
R4608,CRO,0.00694
R4608,CRO,0.00723
R4608,CRO,0.00738
R4608,CRO,0.00746
R4608,CRO,0.00732
