T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00213,0.00213,0.00228,0.00208,0.00207,0.00028,0.00027,0.00027,0.00175,0.00191,0.00158,0.0016,0.00027,0.00027,0.00027,0.00028,0.00265,0.00231,0.00243,0.00208,0.00178,0.00096,0.00258,0.00169,0.00212,0.00238,0.00202,0.0009,0.00251,0.002,0.00222,0.00236
0.00168,0.00231,0.0023,0.0022,0.00169,0.00022,0.00024,0.00031,0.00224,0.00219,0.00226,0.00204,0.0002,0.00028,0.00033,0.0004,0.00259,0.00253,0.00265,0.00249,0.00194,0.00097,0.0029,0.00274,0.00254,0.00247,0.00265,0.00207,0.0026,0.00245,0.00228,0.00214
0.00177,0.00126,0.0019,0.00228,0.0022,0.00017,0.00029,0.00028,0.00229,0.00206,0.00185,0.00212,0.00029,0.00028,0.00029,0.0004,0.00273,0.00238,0.00233,0.0024,0.00207,0.00222,0.00279,0.00265,0.00241,0.00224,0.00255,0.00254,0.00243,0.00226,0.00257,0.00219
0.00184,0.00223,0.00237,0.00177,0.00232,0.00027,0.00019,0.00026,0.00204,0.00167,0.00176,0.00183,0.00026,0.00026,0.00027,0.00026,0.00219,0.00219,0.00249,0.00218,0.00089,0.00214,0.002,0.00159,0.00212,0.00217,0.00244,0.00198,0.00209,0.00189,0.00187,0.00208
0.00187,0.0022,0.00248,0.00082,0.00083,0.00025,0.00023,0.00038,0.0021,0.0017,0.00178,0.00201,0.00023,0.00018,0.00021,0.00029,0.00261,0.00172,0.0026,0.00226,0.00189,0.00206,0.00199,0.00222,0.00243,0.00176,0.00244,0.00245,0.00219,0.00241,0.00205,0.00231
0.00188,0.00132,0.0024,0.00108,0.00202,0.00022,0.00019,0.00027,0.00196,0.0022,0.00142,0.00199,0.00024,0.00015,0.00012,0.00037,0.00236,0.00187,0.0023,0.00196,0.00197,0.00216,0.00237,0.00238,0.00254,0.00229,0.00258,0.00246,0.00222,0.00241,0.00226,0.00243
0.00164,0.0019,0.00204,0.00193,0.0018,0.00018,0.00014,0.00026,0.00189,0.00157,0.00136,0.00142,0.00019,0.00022,0.00027,0.00026,0.00241,0.001,0.00274,0.00211,0.00094,0.00211,0.0024,0.00175,0.00222,0.00223,0.00278,0.0022,0.00195,0.00254,0.00222,0.00198
0.00201,0.00076,0.00138,0.00188,0.00181,0.00023,0.00005,0.00024,0.00209,0.00221,0.00207,0.00139,0.00027,0.00022,0.00017,0.00033,0.001,0.0022,0.0028,0.00263,0.00182,0.0023,0.00257,0.00216,0.00238,0.00252,0.00266,0.00236,0.00226,0.00251,0.00252,0.00225
0.00121,0.00129,0.00139,0.00179,0.00081,0.00026,0.00018,0.00028,0.00218,0.0024,0.00197,0.0019,0.00021,0.00015,0.00016,0.00025,0.0026,0.00234,0.00285,0.00231,0.00235,0.00204,0.00239,0.00212,0.00239,0.00259,0.00272,0.00248,0.00239,0.00254,0.00244,0.00251
0.00119,0.00175,0.00184,0.00122,0.00179,0.00019,0.00012,0.00019,0.0019,0.00219,0.00139,0.00175,0.00023,0.00027,0.0002,0.00017,0.00249,0.00091,0.00272,0.00199,0.00178,0.00225,0.00224,0.00206,0.00226,0.00215,0.00239,0.00255,0.00204,0.00257,0.00218,0.00219
0.00172,0.0008,0.00193,0.0019,0.00178,0.00022,0.00006,0.00013,0.00198,0.00208,0.00237,0.00191,0.00026,0.00017,0.00021,0.00024,0.00257,0.00193,0.00268,0.0022,0.00092,0.00223,0.00235,0.00189,0.00257,0.0021,0.00256,0.00295,0.00204,0.00264,0.00269,0.00244
0.00198,0.00069,0.0019,0.0022,0.00082,0.00018,0.00002,0.0002,0.00208,0.00242,0.00161,0.00177,0.00022,0.00016,0.00015,0.00021,0.00213,0.00218,0.00259,0.00244,0.00087,0.00243,0.0023,0.00195,0.00231,0.00247,0.00245,0.0025,0.00221,0.00265,0.00232,0.00246
0.001743333,0.001553333,0.0020175,0.0017625,0.001661667,0.0002225,0.000165,0.000255833,0.002041667,0.00205,0.001785,0.001810833,0.000239167,0.0002175,0.000220833,0.000288333,,,,,,,,,,,,,,,,
