"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0.5501153089,0.4498846911,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.08226364532,0,0,0,0,0.1812942769,0.7364420778,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.4818180472,0,0.1383117242,0,0.3798702285,0,0,0,0,0
"5",0.1924686653,0,0,0,0,0,0,0.06056976941,0,0.08826445625,0.6586971091,0,0,0,0,0
"6",0,0,0.5249406235,0,0,0,0,0,0,0,0,0.4750593765,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",0,0.2604791199,0,0,0,0,0,0,0,0,0,0,0.1893710148,0.5501498653,0,0
"9",0,0,0.946810412,0,0,0,0,0,0,0,0,0.05318958804,0,0,0,0
"10",0,0,0.9590370163,0,0,0,0,0,0,0,0,0,0.04096298369,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0.4705347342,0,0,0,0,0,0,0,0,0.5294652658
"13",0,0,0,0,0,0.2094200279,0,0,0,0,0,0,0,0,0,0.7905799721
"14",0,0,0,0,0,0,0.3376044192,0,0,0,0.3157381821,0,0,0,0,0.3466573987
"15",0,0,0,0,0,0,0,0,0.2901527229,0.0278041004,0.329331228,0,0,0,0,0.3527119488
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
