T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00281,0.00236,0.0032,0.00275,0.0025,0.0026,0.00003,0.00238,0.00229,0.00282,0.00019,0.00056,0.00276,0.0002,-0.00001,0.00018,0.0021,0.00298,0.0025,0.00289,0.00199,0.00247,0.00176,0.00229,0.00228,0.00139,0.00218,0.00258,0.00269,0.00198,0.00121,0.00222
0.00301,0.0028,0.00309,0.00247,0.00315,0.00258,0.00028,0.00266,0.00257,0.00361,0.00002,0.00058,0.00269,0.00017,0.00022,0.00022,0.00205,0.0028,0.00276,0.00304,0.00209,0.0025,0.00186,0.00302,0.00251,0.00151,0.00279,0.00232,0.0026,0.00241,0.00223,0.00276
0.00291,0.00277,0.003,0.0025,0.00284,0.00267,0.0002,0.0026,0.00266,0.00349,0.00002,0.00067,0.00279,0.00017,0,0.00018,0.00193,0.00262,0.00277,0.0028,0.00218,0.00259,0.00162,0.00336,0.00279,0.00204,0.00273,0.00215,0.00266,0.00274,0.00293,0.00317
0.00259,0.00269,0.00284,0.00228,0.00302,0.00265,-0.00001,0.00274,0.00261,0.00339,0.00018,0.00066,0.00312,0.00013,0.00022,0.00017,0.00241,0.00238,0.00248,0.00278,0.00193,0.00242,0.00175,0.00282,0.00236,0.00139,0.00275,0.00205,0.00252,0.00237,0.00278,0.00311
0.00264,0.00264,0.00237,0.00224,0.00294,0.00239,0.00022,0.00207,0.00255,0.00326,0.00017,0.00067,0.00214,0.00015,0.00011,0.00016,0.00193,0.00272,0.00325,0.00281,0.00197,0.00247,0.00231,0.00274,0.00244,0.00146,0.00258,0.00223,0.00284,0.00249,0.00273,0.00277
0.00255,0.00249,0.00271,0.00233,0.0024,0.00241,0.00019,0.00253,0.00233,0.00308,0.00019,0.00062,0.00232,0.00016,0.00016,0.00016,0.00239,0.00268,0.00252,0.00269,0.00209,0.00238,0.0017,0.0027,0.00241,0.00169,0.00303,0.00261,0.00281,0.00262,0.0027,0.003
0.00206,0.00306,0.00322,0.0021,0.00309,0.002,0.00019,0.00216,0.00247,0.0029,0.00022,0.00061,0.0027,0.00011,0.00011,0.00018,0.0022,0.00291,0.00268,0.00295,0.00227,0.00278,0.002,0.00266,0.00229,0.00157,0.00273,0.00258,0.00292,0.00267,0.00262,0.00292
0.00259,0.00208,0.00309,0.00261,0.00285,0.00227,0.00023,0.00254,0.00291,0.00305,0.00016,0.00064,0.00302,0.0002,-0.00002,0.00017,0.00199,0.00263,0.00284,0.00298,0.00199,0.00279,0.00196,0.00242,0.00259,0.00169,0.00301,0.00257,0.003,0.00245,0.00269,0.00301
0.00266,0.00301,0.00307,0.00221,0.00292,0.00223,0.00028,0.00251,0.00254,0.00344,0.00019,0.00065,0.00297,0.00019,0.00011,0.00017,0.00181,0.00298,0.00246,0.00298,0.00219,0.00274,0.00227,0.00296,0.00246,0.00175,0.00287,0.00265,0.00278,0.00261,0.00328,0.00285
0.00292,0.00287,0.0034,0.00213,0.00316,0.00257,0.00016,0.0024,0.00246,0.00364,0.00018,0.00062,0.00293,0.00011,0.00011,0.00011,0.00198,0.00299,0.00261,0.00292,0.00233,0.00266,0.00201,0.00285,0.00293,0.00194,0.00333,0.00265,0.00298,0.0026,0.00139,0.00277
0.00257,0.00263,0.00333,0.00277,0.00282,0.00262,0.00028,0.00264,0.00272,0.00366,0.00016,0.00052,0.00282,0.00017,0.00011,0.00018,0.00184,0.00285,0.00229,0.00288,0.00179,0.00272,0.002,0.00287,0.00281,0.00105,0.00334,0.0029,0.00306,0.00264,0.00142,0.0027
0.00284,0.00311,0.00313,0.00273,0.00318,0.00245,0.00001,0.00277,0.00222,0.00337,0.00001,0.00051,0.00261,-0.00005,0,0.00017,0.00213,0.00275,0.0025,0.00237,0.00204,0.00279,0.00215,0.00322,0.00286,0.00174,0.00307,0.00284,0.00316,0.00233,0.0028,0.00347
0.002679167,0.002709167,0.0030375,0.002426667,0.002905833,0.002453333,0.000171667,0.0025,0.0025275,0.003309167,0.000140833,0.000609167,0.002739167,0.0001425,9.33E-05,0.000170833,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,,,,,,,,,,,,,,,
,0.002679167,0.002709167,0.0030375,0.002426667,0.002905833,0.002453333,0.000171667,0.0025,0.0025275,0.003309167,0.000140833,0.000609167,0.002739167,0.0001425,9.33E-05,0.000170833,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NE,0.003309167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E,0.0030375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N,0.002905833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEN,0.002739167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,M,0.002709167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1,0.002679167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GE,0.0025275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MN,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ME,0.002453333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,0.002426667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEG,0.000609167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GM,0.000171667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T50,0.000170833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GNE,0.0001425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GN,0.000140833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GNM,9.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
