T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0003,0.00009,0.00162,0.00218,0.00005,0.00014,0.00217,0.00016,0.00261,0.00011,0.00253,0.00013,0.00007,0.00271,0.0006,0.00182,0.00206,0.00147,0.00241,0.0021,0.00256,0.00227,0.0022,0.0024,0.00245,0.00251,0.00245,0.00272,0.00231,0.00224,0.00281,0.00252
0.00024,0.0002,0.00184,0.00195,0.00018,0.00025,0.00184,0.00011,0.00226,0.00022,0.00241,0.0001,0.0002,0.00248,0.0002,0.00261,0.00232,0.00157,0.00255,0.00215,0.00246,0.00253,0.0018,0.00253,0.00249,0.00255,0.00275,0.00266,0.00249,0.00269,0.0029,0.00258
0.00009,0.00021,0.0018,0.00187,0.0001,0.00025,0.00176,0.00004,0.00265,0.00007,0.00271,0.00011,0.00003,0.00224,0.00023,0.00269,0.00236,0.00192,0.00229,0.00234,0.00216,0.00204,0.00111,0.00251,0.00273,0.0028,0.00261,0.00272,0.00242,0.00246,0.00292,0.00259
0.00017,0.00014,0.00188,0.00213,0.00017,0.00015,0.0013,0.00008,0.0013,0.00022,0.00227,0.00011,0.00003,0.00211,0.00022,0.00285,0.00228,0.00145,0.00202,0.00184,0.00248,0.00201,0.00181,0.00243,0.00204,0.00266,0.00221,0.00285,0.00252,0.00304,0.00264,0.00208
0.00008,0.00017,0.00123,0.00202,0.00009,0.00025,0.00209,0.00017,0.00214,0.00016,0.00261,0.00011,0.00006,0.0022,0.00021,0.00225,0.00255,0.00171,0.00216,0.00218,0.00248,0.00224,0.00161,0.00234,0.00274,0.00272,0.00257,0.00251,0.00235,0.00281,0.00272,0.00204
0.00011,0.00019,0.00174,0.00119,0.00008,0.00014,0.00123,0.00014,0.00223,0.00021,0.00241,0.00011,0.00008,0.00255,0.00011,0.00221,0.00263,0.00156,0.00203,0.00104,0.00122,0.00191,0.00172,0.00208,0.00268,0.00284,0.00242,0.00235,0.00228,0.00289,0.00284,0.00187
0.00013,0.00025,0.0016,0.00187,0.0001,0.00027,0.00236,0.00025,0.00256,0.00007,0.00224,0.00022,0.00007,0.00232,0.00018,0.00198,0.00235,0.00147,0.00119,0.00215,0.00248,0.00179,0.00206,0.00231,0.00278,0.00259,0.00173,0.0027,0.00277,0.00139,0.00263,0.00258
0.0002,0.0002,0.00168,0.00187,0.00002,0.00015,0.00206,0.00018,0.00221,0.00008,0.00261,0.0001,0.00016,0.00266,0.00005,0.00257,0.00241,0.00152,0.00219,0.00228,0.00257,0.00264,0.00248,0.00213,0.00262,0.00247,0.00227,0.00254,0.00257,0.00301,0.0026,0.00268
0.00021,0.00021,0.00112,0.00192,0.00005,0.00028,0.00249,0.00018,0.00249,0.00011,0.002,0.00009,0.00017,0.00141,0.00007,0.00218,0.00219,0.00151,0.00135,0.00116,0.00245,0.00255,0.00238,0.00254,0.00267,0.00276,0.00232,0.00255,0.00264,0.00249,0.00274,0.00219
0.0001,0.00019,0.00186,0.00198,0.00003,0.00028,0.00256,0.00006,0.00241,0.00008,0.00134,0.00009,0.00003,0.00225,0.00017,0.00257,0.00211,0.00152,0.00271,0.00226,0.00265,0.00245,0.0019,0.00242,0.0025,0.00206,0.00275,0.00206,0.00262,0.00255,0.00304,0.00276
0.00019,0.00021,0.00185,0.00211,0.00008,0.00034,0.00121,0.00015,0.00233,0.00011,0.00251,0.00007,0.00017,0.00233,0.0002,0.00233,0.00238,0.00161,0.00242,0.00229,0.00249,0.00273,0.0023,0.00212,0.00292,0.00239,0.00241,0.00305,0.00278,0.00301,0.00305,0.00128
0.0001,0.00016,0.00162,0.00214,0.00007,0.0002,0.00256,0.00016,0.00235,0.00021,0.00253,0.00019,0.00003,0.00197,0.0002,0.00288,0.00231,0.00133,0.00248,0.00236,0.00237,0.00229,0.00221,0.0027,0.00257,0.00274,0.00231,0.00313,0.00269,0.00201,0.00294,0.0027
0.00016,0.000185,0.001653333,0.001935833,0.000085,0.000225,0.001969167,0.00014,0.002295,0.0001375,0.0023475,0.000119167,9.17E-05,0.002269167,0.000203333,0.002411667,,,,,,,,,,,,,,,,
