T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00235,0.00189,0.0023,0.00193,0.00267,0.00091,0.00011,0.00212,0.00212,0.0022,0.00225,0.00011,0.00213,0.00001,0.00005,0.00307,0.00243,0.00222,0.00243,0.00151,0.00233,0.00217,0.00273,0.00223,0.00314,0.00237,0.00285,0.00322,0.00281,0.00338,0.0028,0.00288
0.00217,0.00101,0.00219,0.0021,0.00155,0.00247,0.00011,0.00234,0.00213,0.00212,0.00237,0.00001,0.00235,0.00014,0.00012,0.00242,0.00206,0.00232,0.00231,0.00246,0.0014,0.00136,0.00239,0.00225,0.00235,0.00215,0.00249,0.00275,0.00272,0.0029,0.00265,0.00278
0.00252,0.00098,0.00206,0.00196,0.00196,0.00243,0.00013,0.00203,0.00246,0.00239,0.00213,0.00017,0.00207,0.00006,0.00011,0.00312,0.00129,0.00225,0.00137,0.00235,0.00145,0.0023,0.00254,0.00266,0.00267,0.00232,0.00274,0.00278,0.00235,0.00296,0.00306,0.00335
0.00257,0.00226,0.00229,0.00224,0.00214,0.00233,-0.00001,0.00222,0.0022,0.00207,0.00223,0.00009,0.0022,-0.00002,0.00013,0.00285,0.00231,0.00123,0.00209,0.00223,0.00137,0.00225,0.00223,0.00217,0.00224,0.00245,0.00294,0.00273,0.00267,0.00272,0.00287,0.00267
0.001,0.00097,0.00199,0.00213,0.00143,0.00209,0.00005,0.00222,0.0019,0.00223,0.00256,0.00001,0.00134,-0.00002,0,0.00268,0.00203,0.00214,0.00083,0.00132,0.00231,0.00138,0.00129,0.0024,0.00228,0.00232,0.00272,0.00266,0.00255,0.00265,0.00284,0.00298
0.00222,0.00215,0.00221,0.00223,0.00207,0.00214,0.00011,0.00198,0.00202,0.00226,0.00312,0.00001,0.00257,-0.00002,0.00005,0.00319,0.00128,0.0013,0.00226,0.00126,0.00254,0.00138,0.00136,0.00236,0.0025,0.00245,0.00268,0.00281,0.00288,0.0028,0.00295,0.00264
0.00099,0.00148,0.0014,0.00148,0.00238,0.00221,-0.00003,0.00197,0.00216,0.00223,0.00231,0.00017,0.00238,0,0.00011,0.0026,0.00229,0.00236,0.00242,0.00222,0.00251,0.00232,0.00243,0.00255,0.00256,0.00259,0.00326,0.00293,0.00268,0.00287,0.00313,0.00274
0.00096,0.00201,0.00133,0.00188,0.00208,0.00253,-0.00002,0.00231,0.00149,0.00223,0.00269,0.00017,0.00299,-0.00001,0.00011,0.00309,0.00208,0.0026,0.00271,0.00246,0.00269,0.00246,0.00297,0.00264,0.00306,0.00259,0.00289,0.00294,0.0028,0.00357,0.00298,0.00316
0.00209,0.00205,0.00223,0.00217,0.00231,0.00251,0.00008,0.00229,0.0022,0.0023,0.00272,0.00017,0.00246,0.00009,0.00011,0.00292,0.00233,0.00257,0.0027,0.00253,0.00258,0.0025,0.00257,0.00272,0.00312,0.00278,0.00353,0.00301,0.00281,0.00367,0.00285,0.00315
0.00203,0.00101,0.0023,0.00141,0.00227,0.0018,0.00008,0.00208,0.00168,0.00205,0.00285,0.00001,0.00259,0.00001,-0.00002,0.00256,0.00216,0.00258,0.00284,0.00239,0.00155,0.00246,0.00249,0.00285,0.00304,0.00297,0.00301,0.00298,0.00284,0.00329,0.00307,0.00327
0.00097,0.00096,0.00194,0.00157,0.00193,0.00241,0,0.00237,0.00242,0.00213,0.00163,0.00001,0.00245,0.00004,0.00011,0.00229,0.00243,0.00246,0.00264,0.00236,0.00265,0.00142,0.00285,0.00294,0.0033,0.00267,0.00286,0.0029,0.00258,0.00323,0.00268,0.00298
0.00234,0.00207,0.00205,0.00228,0.00219,0.0024,0,0.00205,0.00161,0.00216,0.00235,0.00012,0.00233,0.00013,0.00011,0.00306,0.00168,0.00137,0.00133,0.00215,0.00266,0.00236,0.00269,0.00285,0.00264,0.00251,0.00246,0.00221,0.00271,0.00295,0.00289,0.00318
0.001850833,0.00157,0.002024167,0.001948333,0.002081667,0.002185833,5.08333E-05,0.002165,0.0020325,0.0021975,0.002434167,0.0000875,0.002321667,3.41667E-05,0.0000825,0.002820833,,,,,,,,,,,,,,,,
