T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,Mec,GMc,MNc,Gec,Nec,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00244,0.00158,0.00298,0.00259,0.00243,0.00029,0.00273,0.00347,0.00303,0.00278,0.00029,0.0033,0.00268,0.00275,0.00062,0.00234,0.00216,0.00353,0.00293,0.00252,0.00169,0.0006,0.00299,0.00317,0.00229,0.00289,0.00044,0.0029,0.0031,0.00319,0.00088,0.0035
0.00212,0.00341,0.00348,0.00323,0.00244,0.00036,0.00364,0.00356,0.004,0.00386,0.00042,0.00368,0.00403,0.0035,0.00133,0.00183,0.00294,0.00362,0.00322,0.00325,0.00168,0.00063,0.00255,0.00279,0.00317,0.00266,0.00067,0.0031,0.00327,0.00362,0.00091,0.00319
0.00248,0.00347,0.00358,0.00326,0.00191,0.00062,0.00289,0.00268,0.00265,0.0027,0.00069,0.00283,0.00286,0.00372,0.00109,0.00264,0.00236,0.00347,0.00335,0.00271,0.00159,0.0006,0.00328,0.00297,0.00325,0.00318,0.00064,0.00315,0.00282,0.00286,0.00103,0.00349
0.00251,0.00316,0.0032,0.00273,0.00181,0.00065,0.00329,0.00278,0.00309,0.00281,0.00052,0.00279,0.00285,0.00377,0.0009,0.00273,0.00205,0.00324,0.00293,0.00284,0.00192,0.00053,0.00267,0.00276,0.00263,0.00236,0.00065,0.00284,0.00292,0.00289,0.00078,0.00278
0.00218,0.00328,0.00308,0.00232,0.00151,0.0006,0.00248,0.00279,0.00292,0.00284,0.00073,0.00346,0.00292,0.00287,0.0008,0.00248,0.00288,0.00286,0.00289,0.00249,0.00132,0.00062,0.00232,0.00236,0.00277,0.00282,0.00071,0.00291,0.00296,0.00259,0.00083,0.00296
0.00152,0.00322,0.00327,0.00311,0.00202,0.0005,0.00276,0.00289,0.00284,0.00278,0.00072,0.00306,0.00354,0.00345,0.0009,0.00262,0.00168,0.00321,0.00304,0.00249,0.00179,0.00045,0.00266,0.0029,0.00263,0.00282,0.00085,0.00316,0.00313,0.004,0.00079,0.00254
0.00227,0.00336,0.00352,0.00244,0.00206,0.00068,0.00262,0.00268,0.00296,0.00264,0.00068,0.00331,0.00311,0.00328,0.00074,0.00259,0.00273,0.00353,0.00312,0.00258,0.00179,0.00063,0.00272,0.00295,0.00305,0.00304,0.00055,0.0033,0.00286,0.00342,0.00085,0.00345
0.00152,0.00337,0.00303,0.00264,0.00162,0.00043,0.00301,0.003,0.0028,0.00298,0.00063,0.00324,0.0032,0.00365,0.00082,0.00247,0.00158,0.00339,0.00286,0.00282,0.00175,0.00053,0.00263,0.00311,0.00287,0.00275,0.00053,0.00308,0.00292,0.00384,0.0009,0.00246
0.00221,0.00347,0.00313,0.00273,0.00229,0.00066,0.00288,0.003,0.00342,0.00267,0.00066,0.00314,0.00315,0.00383,0.00093,0.00332,0.00235,0.00315,0.00313,0.00256,0.00152,0.00067,0.00281,0.00336,0.0027,0.00291,0.00052,0.00308,0.00314,0.00345,0.00079,0.00286
0.00214,0.00356,0.00351,0.00267,0.00153,0.00063,0.00294,0.00297,0.00281,0.00285,0.00049,0.00323,0.00311,0.00376,0.00079,0.00249,0.00268,0.00347,0.00329,0.00297,0.00193,0.00035,0.00298,0.00309,0.00288,0.00306,0.00059,0.00297,0.00351,0.00374,0.00094,0.00266
0.00248,0.00344,0.00342,0.00251,0.00159,0.00053,0.0029,0.00317,0.00365,0.00276,0.00057,0.00314,0.00303,0.00345,0.00083,0.00162,0.0022,0.0032,0.00334,0.00341,0.00245,0.00029,0.00332,0.0032,0.00309,0.00325,0.00035,0.00354,0.00374,0.00335,0.00106,0.00239
0.00163,0.00354,0.00329,0.00342,0.00185,0.0006,0.00245,0.0026,0.00281,0.00298,0.00065,0.00313,0.00369,0.00406,0.00093,0.00339,0.00244,0.00213,0.00198,0.00264,0.00265,0.00028,0.00273,0.00257,0.00324,0.00307,0.00026,0.00352,0.00276,0.00292,0.00065,0.00204
0.002125,0.003238333,0.003290833,0.002804167,0.001921667,0.000545833,0.0028825,0.002965833,0.003081667,0.0028875,0.0005875,0.0031925,0.003180833,0.0035075,0.00089,0.002543333,,,,,,,,,,,,,,,,
