T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00137,0.00044,0.00232,0.00154,0.00176,0.00247,0.00143,0.00071,0.00262,0.00225,0.00253,0.00292,0.00303,0.0002,0.00289,0.00207,0.00244,0.00226,0.00198,0.00265,0.00281,0.0025,0.0022,0.00286,0.0025,0.00251,0.00274,0.00293,0.00294,0.00304,0.00277,0.00336
0.00134,0.00048,0.00218,0.00295,0.00121,0.00215,0.00307,0.00063,0.00325,0.00174,0.00327,0.00306,0.00239,0.00012,0.00302,0.00304,0.00262,0.0026,0.00132,0.00316,0.00282,0.00242,0.00282,0.00315,0.00334,0.00274,0.00231,0.00255,0.00318,0.00339,0.00314,0.00338
0.00148,0.00056,0.00129,0.00204,0.00191,0.00126,0.00314,0.00075,0.00331,0.00163,0.00298,0.00256,0.0009,0.00011,0.00336,0.00274,0.00234,0.0025,0.00135,0.003,0.00289,0.00266,0.00309,0.00375,0.00327,0.00301,0.0025,0.00323,0.00308,0.0026,0.00313,0.00315
0.00227,0.00051,0.0019,0.00263,0.00241,0.00283,0.00266,0.00084,0.00241,0.00274,0.00254,0.00298,0.00288,0.00007,0.00327,0.0033,0.00126,0.00207,0.00179,0.00302,0.00142,0.00196,0.00264,0.00218,0.00263,0.0022,0.00261,-0.00001,0.00293,0.0031,0.00297,0.00319
0.00262,0.00051,0.0023,0.00274,0.00225,0.00236,0.0025,0.00074,0.00312,0.00299,0.00292,0.00291,0.00273,0.00016,0.00325,0.00316,0.00302,0.0024,0.00115,0.00275,0.00293,0.0025,0.00284,0.00262,0.00309,0.00286,0.00279,0.00296,0.00327,0.00304,0.00293,0.00336
0.00232,0.0006,0.00219,0.00293,0.00215,0.00134,0.00301,0.00068,0.0027,0.00317,0.00307,0.0033,0.00255,0.00009,0.00343,0.00329,0.00289,0.00203,0.00169,0.00291,0.00299,0.00304,0.00224,0.003,0.0031,0.00273,0.00262,0.00279,0.0032,0.00314,0.00307,0.00348
0.00247,0.00055,0.00255,0.00303,0.00233,0.00269,0.00275,0.00099,0.00341,0.00342,0.00256,0.00358,0.00229,0.00008,0.00362,0.00324,0.00212,0.00185,0.00239,0.00318,0.00245,0.00325,0.00241,0.003,0.003,0.0026,0.00259,0.00293,0.00293,0.00359,0.00313,0.00345
0.00235,0.00045,0.00212,0.00256,0.00223,0.00201,0.00317,0.00095,0.00328,0.00342,0.00276,0.0035,0.00281,0.0001,0.00285,0.00267,0.00249,0.00275,0.00241,0.00285,0.00298,0.00327,0.00286,0.00287,0.00306,0.00291,0.0029,0.0031,0.00308,0.00331,0.00312,0.0035
0.00186,0.00054,0.00226,0.00263,0.00193,0.0022,0.0032,0.00099,0.00327,0.00337,0.0023,0.00371,0.00187,0.00022,0.00312,0.00265,0.00225,0.00265,0.00247,0.0026,0.00295,0.00274,0.0027,0.00283,0.00247,0.00323,0.00314,0.00284,0.00255,0.00334,0.00322,0.00367
0.00269,0.00063,0.002,0.00151,0.00225,0.00254,0.00313,0.00106,0.0031,0.00302,0.00313,0.00327,0.00239,0.00008,0.00337,0.00328,0.00278,0.00202,0.00124,0.00146,0.00241,0.00255,0.00262,0.00299,0.00279,0.00285,0.00299,0.00328,0.00281,0.00342,0.00348,0.00359
0.00261,0.00061,0.00198,0.00274,0.00235,0.00231,0.00272,0.00083,0.00338,0.00358,0.00296,0.00329,0.00271,0.00009,0.00335,0.00322,0.00323,0.00256,0.00207,0.00316,0.00247,0.00246,0.00277,0.00296,0.00309,0.00281,0.00309,0.00302,0.00281,0.00332,0.00331,0.00355
0.00217,0.00051,0.0016,0.00272,0.00202,0.00224,0.00281,0.00085,0.00315,0.00362,0.00282,0.00321,0.00224,0.00009,0.0032,0.00246,0.00296,0.00298,0.00224,0.00327,0.00288,0.00264,0.00329,0.00313,0.00281,0.00283,0.00313,0.00319,0.00298,0.00341,0.00324,0.0029
0.002129167,0.0005325,0.0020575,0.002501667,0.002066667,0.0022,0.002799167,0.000835,0.003083333,0.0029125,0.00282,0.003190833,0.002399167,0.0001175,0.0032275,0.002926667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,100,10,1,1100,1010,1001,110,101,11,1110,1101,111,1011,1111,,,,,,,,,,,,,,,,
T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,,,,,,,,,,,,,,,,
0.002129167,0.0005325,0.0020575,0.002501667,0.002066667,0.0022,0.002799167,0.000835,0.003083333,0.0029125,0.00282,0.003190833,0.002399167,0.0001175,0.0032275,0.002926667,,,,,,,,,,,,,,,,
21.29167,5.325,20.575,25.01667,20.66667,22,27.99167,8.35,30.83333,29.125,28.2,31.90833,23.99167,1.175,32.275,29.26667,,,,,,,,,,,,,,,,
21.29167,5.325,20.575,25.01667,20.66667,22,27.99167,8.35,30.83333,29.125,28.2,31.90833,23.99167,1.175,32.275,29.26667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNM,3,,0.0032275,,,,,3,5,0.0032275,,,,,,,,,,,,,,,,,,,,,
MEG,3,,0.003190833,,,,,3,2,0.003190833,,,0,1000,100,10,1,1100,1010,1001,110,101,11,1110,1101,111,1011,1111,,,
GE,2,,0.003083333,,,,,2,5,0.003083333,,,T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,,,
T50,4,,0.002926667,,,,,4,4,0.002926667,,TZP 128,0.002679167,0.002709167,0.0030375,0.002426667,0.002905833,0.002453333,0.000171667,0.0025,0.0025275,0.003309167,0.000140833,0.000609167,0.002739167,0.0001425,9.33E-05,0.000170833,,,
NE,2,,0.0029125,,,,,2,6,0.0029125,,FEP 0.0312,0.002129167,0.0005325,0.0020575,0.002501667,0.002066667,0.0022,0.002799167,0.000835,0.003083333,0.0029125,0.00282,0.003190833,0.002399167,0.0001175,0.0032275,0.002926667,,,
GN,2,,0.00282,,,,,2,7,0.00282,,,,,,,,,,,,,,,,,,,,,
GM,2,,0.002799167,,,,,2,2,0.002799167,,,,,,,,,,,,,,,,,,,,,
G,1,,0.002501667,,,,,1,6,0.002501667,,,,,,,,,,,,,,,,,,,,,
MEN,3,,0.002399167,,,,,3,3,0.002399167,,,0,1000,100,10,1,1100,1010,1001,110,101,11,1110,1101,111,1011,1111,,,
ME,2,,0.0022,,,,,2,1,0.0022,,,T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,,,
T1,1,,0.002129167,,,,,1,4,0.002129167,,TZP 128,0.002679167,0.002709167,0.0030375,0.002426667,0.002905833,0.002453333,0.000171667,0.0025,0.0025275,0.003309167,0.000140833,0.000609167,0.002739167,0.0001425,9.33E-05,0.000170833,,,
N,1,,0.002066667,,,,,1,5,0.002066667,,,26.79167,27.09167,30.375,24.26667,29.05833,24.53333,1.71667,25,25.275,33.09167,1.40833,6.09167,27.39167,1.425,0.933,1.70833,,,
E,1,,0.0020575,,,,,1,3,0.0020575,,,26.79167,27.09167,30.375,24.26667,29.05833,24.53333,1.71667,25,25.275,33.09167,1.40833,6.09167,27.39167,1.425,0.933,1.70833,,,
MN,2,,0.000835,,,,,2,3,0.000835,,,,,,,,,,,,,,,,,,,,,
M,1,,0.0005325,,,,,1,2,0.0005325,,,,,,,,,,,,,,,,,,,,,
GNE,3,,0.0001175,,,,,3,6,0.0001175,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29.26667,32.275,27.99167,31.90833,29.26667,,,,,1.70833,0.933,1.71667,6.09167,1.70833,,,,,,,,,,,,,,,
,,,1.175,28.2,25.01667,30.83333,1.175,,,,,1.425,1.40833,24.26667,25.275,1.425,,,,,,,,,,,,,,,
,,,29.125,20.66667,21.29167,20.575,29.125,,,,,33.09167,29.05833,26.79167,30.375,33.09167,,,,,,,,,,,,,,,
,,,23.99167,8.35,5.325,22,23.99167,,,,,27.39167,25,27.09167,24.53333,27.39167,,,,,,,,,,,,,,,
,,,29.26667,32.275,27.99167,31.90833,29.26667,,,,,1.70833,0.933,1.71667,6.09167,1.70833,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1111,1011,1010,1110,1111,,,,,,,,,,,,,,,,,,,,,,,,
,,,0111,0011,0010,0110,0111,,,,,,,,,,,,,,,,,,,,,,,,
,,,0101,0001,0000,0100,0101,,,,,,,,,,,,,,,,,,,,,,,,
,,,1101,1001,1000,1100,1101,,,,,,,,,,,,,,,,,,,,,,,,
,,,1111,1011,1010,1110,1111,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.002129167,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0005325,,,,,,,,,,,,,,,,,,,,,,,,,,
