T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,Mec,GMc,MNc,Gec,Nec,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00203,0.00214,0.00236,0.00229,0.00272,0.00263,0.00238,0.00229,0.00251,0.00296,0.00275,0.00318,0.00255,0.00053,0.00331,0.00293,0.00216,0.00229,0.00221,0.00254,0.00223,0.00279,0.00261,0.00284,0.00319,0.00304,0.00279,0.00307,0.00297,0.0033,0.00169,0.00326
0.00237,0.00181,0.0022,0.00235,0.00245,0.00245,0.00267,0.00256,0.00158,0.0028,0.00287,0.0028,0.00271,0.00049,0.0028,0.00307,0.00211,0.00251,0.00139,0.00258,0.00243,0.00305,0.00243,0.00268,0.00298,0.00253,0.00239,0.0015,0.00335,0.0035,0.00277,0.0027
0.00248,0.0024,0.00264,0.00249,0.0029,0.00241,0.00314,0.00269,0.00246,0.00273,0.00272,0.00248,0.00282,0.00056,0.00265,0.00316,0.00237,0.00241,0.00186,0.00213,0.00287,0.00288,0.00256,0.00273,0.00299,0.00247,0.00317,0.0027,0.00306,0.00325,0.0026,0.00271
0.00254,0.00222,0.0027,0.00249,0.0017,0.0028,0.00312,0.00162,0.00262,0.00297,0.00314,0.00328,0.0023,0.00058,0.00251,0.00332,0.00224,0.00145,0.00173,0.00269,0.00233,0.00269,0.00283,0.00291,0.00259,0.00274,0.00265,0.00235,0.00309,0.00309,0.00321,0.00268
0.00281,0.00222,0.00249,0.0016,0.00258,0.00346,0.00267,0.00264,0.00273,0.00266,0.00339,0.00254,0.00251,0.00062,0.00259,0.003,0.00227,0.00233,0.00211,0.00264,0.00242,0.00314,0.00267,0.00316,0.00304,0.00289,0.00303,0.00272,0.00288,0.00342,0.00334,0.00262
0.00251,0.00156,0.00176,0.00157,0.00278,0.00257,0.00302,0.00254,0.00287,0.00173,0.00313,0.00243,0.00176,0.00074,0.00166,0.00327,0.00244,0.00265,0.00255,0.00278,0.00265,0.00261,0.00284,0.00305,0.00272,0.00302,0.0029,0.00266,0.00308,0.00342,0.00344,0.00309
0.00239,0.00236,0.00241,0.00285,0.00247,0.00269,0.00263,0.00255,0.00289,0.00349,0.00314,0.0032,0.00329,0.00067,0.003,0.00318,0.00216,0.00248,0.00225,0.00288,0.00302,0.00236,0.00246,0.00272,0.00297,0.00318,0.00313,0.00303,0.00303,0.00273,0.00231,0.00206
0.00278,0.00198,0.00234,0.00272,0.00202,0.0023,0.00286,0.00239,0.00291,0.00265,0.00301,0.00334,0.00326,0.00055,0.00345,0.00284,0.00259,0.00245,0.00233,0.00284,0.00304,0.00265,0.00283,0.00287,0.00276,0.00343,0.00326,0.00326,0.00308,0.00304,0.00293,0.00282
0.00275,0.00221,0.00252,0.0024,0.00266,0.00257,0.00311,0.00173,0.00268,0.00281,0.00309,0.00305,0.00349,0.00067,0.00381,0.00345,0.00253,0.00234,0.00255,0.00309,0.00312,0.00306,0.00319,0.00303,0.00317,0.00323,0.00324,0.00335,0.00341,0.00316,0.00309,0.00293
0.00274,0.00223,0.0031,0.00261,0.00295,0.00314,0.00329,0.00293,0.00289,0.00324,0.00175,0.00301,0.00322,0.00066,0.00238,0.0035,0.00301,0.00149,0.00257,0.00291,0.00283,0.003,0.00292,0.00313,0.00309,0.00345,0.00338,0.00343,0.00323,0.00343,0.00307,0.00332
0.00318,0.00153,0.0027,0.00295,0.00254,0.00304,0.00331,0.00295,0.00289,0.00284,0.00236,0.00263,0.00328,0.00063,0.00174,0.00347,0.0027,0.00272,0.00258,0.00294,0.00309,0.00308,0.00308,0.00295,0.00318,0.00324,0.00339,0.0035,0.00326,0.00328,0.00311,0.00284
0.0025,0.00214,0.00206,0.0024,0.00309,0.00276,0.00328,0.00246,0.00279,0.00281,0.00263,0.00161,0.00317,0.00063,0.00169,0.00324,0.00273,0.00277,0.00281,0.00277,0.00262,0.00314,0.00315,0.00295,0.00321,0.00313,0.00316,0.00258,0.00319,0.00329,0.00287,0.00313
0.00259,0.002066667,0.00244,0.002393333,0.002571667,0.002735,0.002956667,0.002445833,0.002651667,0.0028075,0.002831667,0.002795833,0.002863333,0.000610833,0.0026325,0.0032025,,,,,,,,,,,,,,,,
