T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00065,0.00043,0.00213,0.0029,0.00011,0.00063,0.00255,0.00032,0.00308,0.00141,0.00342,0.00084,0.00062,0.00284,0.00122,0.00363,0.00338,0.00281,0.00193,0.00233,0.00262,0.00249,0.00278,0.00191,0.00325,0.00315,0.00199,0.00311,0.00348,0.00306,0.00329,0.00329
0.00054,0.00031,0.00187,0.00265,0.00017,0.00067,0.00255,0.00046,0.00283,0.00143,0.00316,0.00097,0.00111,0.00307,0.00122,0.00343,0.00249,0.0027,0.0027,0.00245,0.00245,0.00186,0.00277,0.00212,0.00316,0.00287,0.00292,0.00292,0.00299,0.00297,0.00303,0.00345
0.00057,0.00051,0.00184,0.00266,0.00019,0.00061,0.00303,0.00047,0.00253,0.0014,0.00308,0.00083,0.00098,0.00308,0.00103,0.0035,0.00254,0.00286,0.00228,0.00193,0.00269,0.00245,0.00352,0.00229,0.00324,0.00305,0.00313,0.00251,0.00307,0.00319,0.0033,0.00353
0.00062,0.00048,0.00201,0.00268,0.00009,0.00066,0.00307,0.00039,0.00275,0.0015,0.003,0.00086,0.00097,0.0032,0.00107,0.00325,0.00248,0.00241,0.00265,0.00231,0.00229,0.00232,0.00255,0.00178,0.00312,0.00303,0.0029,0.00299,0.00327,0.00337,0.0031,0.00333
0.00058,0.00043,0.00204,0.00287,0.0001,0.00065,0.00316,0.00044,0.00287,0.00141,0.0031,0.00093,0.00098,0.00321,0.00104,0.00331,0.00249,0.0026,0.00249,0.00123,0.00237,0.0022,0.00226,0.00165,0.00297,0.00303,0.00288,0.00308,0.00334,0.00318,0.00326,0.00332
0.00052,0.00045,0.00149,0.0028,0.00021,0.00063,0.00324,0.00046,0.00311,0.00144,0.00319,0.00094,0.00099,0.00317,0.00105,0.00339,0.00249,0.00242,0.0033,0.00194,0.00293,0.00245,0.00208,0.00147,0.00239,0.00328,0.00295,0.00321,0.00337,0.00342,0.00314,0.00337
0.00057,0.00045,0.00197,0.00278,0.0001,0.00054,0.00256,0.00037,0.00325,0.00152,0.00307,0.00097,0.00099,0.00313,0.00123,0.00337,0.00254,0.00273,0.00294,0.00265,0.00226,0.00274,0.00285,0.00179,0.00256,0.00243,0.00321,0.00334,0.00336,0.00346,0.00326,0.00325
0.00057,0.00043,0.00135,0.00252,0.00021,0.00047,0.00216,0.00048,0.00263,0.00153,0.00292,0.0009,0.00103,0.00313,0.00094,0.00312,0.00258,0.00271,0.00306,0.00286,0.00301,0.0028,0.00289,0.00172,0.00285,0.00265,0.00301,0.00336,0.0034,0.00341,0.00328,0.00347
0.00056,0.00043,0.00147,0.0021,0.00025,0.00094,0.00197,0.00033,0.00249,0.00154,0.00283,0.00105,0.00106,0.00293,0.00094,0.00338,0.00227,0.00264,0.00261,0.00282,0.00279,0.00275,0.00279,0.00093,0.00298,0.00289,0.00311,0.0034,0.00334,0.00342,0.00353,0.00339
0.00068,0.00043,0.00194,0.00242,0.00029,0.0008,0.00314,0.00027,0.00321,0.0015,0.00298,0.00111,0.00106,0.00316,0.00116,0.00337,0.00258,0.0025,0.00321,0.0028,0.00298,0.00273,0.00291,0.00229,0.00298,0.00336,0.0032,0.00319,0.00339,0.00351,0.00354,0.00329
0.00075,0.00049,0.00134,0.00266,0.00026,0.0006,0.00185,0.00033,0.00323,0.00148,0.00331,0.0011,0.00105,0.00307,0.00108,0.00279,0.0026,0.00234,0.00324,0.00276,0.00288,0.00289,0.00287,0.00216,0.00319,0.00341,0.00304,0.00352,0.00374,0.00358,0.00358,0.00288
0.00053,0.00034,0.00168,0.00221,0.00096,0.00045,0.00253,0.00034,0.00294,0.00149,0.00245,0.00105,0.00099,0.00316,0.00125,0.00268,0.00282,0.00245,0.00266,0.00234,0.00276,0.00252,0.00256,0.00202,0.00291,0.00339,0.00322,0.00332,0.00159,0.00341,0.00357,0.00301
0.000595,0.000431667,0.001760833,0.002604167,0.000245,0.0006375,0.002650833,0.000388333,0.00291,0.001470833,0.0030425,0.0009625,0.000985833,0.003095833,0.0011025,0.003268333,,,,,,,,,,,,,,,,
