T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,Mec,GMc,MNc,Gec,Nec,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00171,0.00262,0.00246,0.00012,0.0026,0.00232,0.00012,0.00263,0.00011,0.00298,0.00012,0.00012,0.00299,0.00265,0.00031,0.00002,0.00188,0.00118,0.00202,0.00221,0.0021,0.00227,0.0025,0.00226,0.00302,0.00283,0.00276,0.00314,0.00327,0.00283,0.00262,0.00188
0.00202,0.00219,0.00231,-0.00003,0.00268,0.00187,0.00011,0.00262,0.0001,0.00253,0.00004,0.00009,0.00276,0.00269,0.00032,0.00016,0.00114,0.00246,0.00265,0.00256,0.00217,0.00221,0.00267,0.00245,0.00256,0.00298,0.00305,0.00256,0.00342,0.00308,0.00304,0.00259
0.00226,0.00202,0.00248,0.00008,0.00241,0.00127,0.00011,0.00264,-0.00001,0.00262,0.00012,0.00004,0.00223,0.00294,0.00037,0.0001,0.00238,0.00235,0.00261,0.0022,0.00233,0.00225,0.00234,0.00293,0.00278,0.00271,0.00312,0.00298,0.00348,0.00279,0.00319,0.00266
0.00119,0.00192,0.00225,0.00004,0.00124,0.00227,0.0001,0.00254,0,0.00284,0.00001,0.00016,0.00306,0.00301,0.00032,0.00008,0.00211,0.00223,0.00235,0.00286,0.00177,0.00203,0.00249,0.00226,0.00217,0.00257,0.00272,0.00197,0.00324,0.0027,0.00259,0.00278
0.00218,0.00203,0.00215,0.00011,0.00129,0.00238,0.00011,0.00264,0.00011,0.00247,0,0.00016,0.00321,0.0028,0.00028,-0.00005,0.00219,0.00165,0.00196,0.00239,0.0024,0.00227,0.00246,0.00264,0.00294,0.0023,0.00259,0.00259,0.0026,0.0024,0.00269,0.00221
0.00117,0.0012,0.00129,0.00008,0.00222,0.00272,0,0.00261,0.00013,0.00236,0.00005,-0.00002,0.0029,0.00353,0.00025,0,0.00248,0.00187,0.00115,0.00276,0.00237,0.00246,0.00237,0.00127,0.00296,0.00272,0.00269,0.00316,0.00246,0.00238,0.00274,0.00181
0.00232,0.00209,0.00228,0.00004,0.00244,0.00205,0.00016,0.00225,0,0.00305,0.00012,0.00013,0.00343,0.00295,0.00028,-0.00001,0.00221,0.00245,0.00271,0.00304,0.00214,0.00278,0.00289,0.0028,0.00249,0.00274,0.00266,0.00298,0.00354,0.00264,0.0025,0.00249
0.00096,0.00195,0.00197,-0.00003,0.00243,0.0012,0.00007,0.00205,-0.00004,0.00293,0.00004,-0.00002,0.00333,0.00269,0.00035,-0.00005,0.00226,0.00211,0.00246,0.00295,0.00281,0.00288,0.0027,0.00245,0.00285,0.00268,0.00264,0.00255,0.0035,0.003,0.00261,0.0017
0.0012,0.00193,0.00216,0.00011,0.00241,0.00229,0,0.00244,0,0.00291,0.00006,0.00017,0.00287,0.00277,0.0003,0.00007,0.00208,0.00199,0.00276,0.00291,0.00296,0.00248,0.0025,0.00281,0.00285,0.00248,0.00291,0.00288,0.00319,0.00277,0.00266,0.00234
0.00199,0.00187,0.00215,0,0.00236,0.00239,0,0.0025,0,0.00268,-0.00002,0.00011,0.00322,0.00274,0.00037,0,0.00115,0.00194,0.00215,0.00248,0.00273,0.00246,0.00281,0.0028,0.0028,0.00307,0.00324,0.00301,0.00339,0.00313,0.00302,0.0019
0.00118,0.00124,0.00227,0.00121,0.00217,0.00208,0,0.00254,0,0.00262,0,0.00012,0.00331,0.00277,0.00017,0,0.00118,0.00225,0.00249,0.00278,0.00257,0.00262,0.00238,0.00242,0.00203,0.00315,0.00325,0.00298,0.00319,0.00304,0.00297,0.0019
0.00194,0.00193,0.0008,0,0.00216,0.00069,0,0.00231,0,0.00293,0,0.00012,0.00324,0.00275,0.00021,0.00003,0.00109,0.00188,0.00219,0.0027,0.00182,0.00206,0.00257,0.00253,0.00238,0.00282,0.00269,0.00341,0.00243,0.00261,0.00293,0.0022
0.001676667,0.001915833,0.0020475,0.000144167,0.002200833,0.001960833,0.000065,0.002480833,3.33E-05,0.002743333,0.000045,9.83E-05,0.003045833,0.0028575,0.000294167,2.92E-05,,,,,,,,,,,,,,,,
