T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,Mec,GMc,MNc,Gec,Nec,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00082,0.00048,0.00149,0.00227,0.00049,0.00066,0.00079,0.00075,0.00171,0.00017,0.00087,0.00085,0.00066,0.0006,0.00065,0.00054,0.00206,0.00229,0.002,0.00211,0.00222,0.00267,0.00213,0.00243,0.00138,0.00234,0.00285,0.00293,0.00193,0.0025,0.00222,0.00274
0.00081,0.00053,0.0017,0.0021,0.00056,0.00063,0.00085,0.00082,0.00311,0.00017,0.0009,0.00084,0.00076,0.00074,0.00074,0.00074,0.00116,0.00225,0.00141,0.00265,0.00203,0.00155,0.00296,0.00226,0.0025,0.00286,0.00308,0.0026,0.00277,0.00268,0.00229,0.00236
0.00079,0.00055,0.0017,0.00153,0.00049,0.00051,0.00082,0.00075,0.00308,0.00028,0.00089,0.00094,0.00066,0.00075,0.00082,0.00075,0.00218,0.00152,0.00294,0.00259,0.00241,0.00159,0.00309,0.00286,0.00259,0.003,0.00326,0.0031,0.00285,0.00301,0.00239,0.00286
0.00071,0.00047,0.00156,0.00194,0.00056,0.00064,0.00075,0.00093,0.00298,0.0003,0.00082,0.00081,0.00068,0.00086,0.00083,0.00067,0.00098,0.00206,0.00205,0.00246,0.00189,0.00245,0.00235,0.00201,0.00246,0.00228,0.00237,0.0026,0.00296,0.00272,0.00252,0.00249
0.00083,0.00049,0.00173,0.00203,0.00051,0.00072,0.00078,0.0008,0.00261,0.00022,0.00076,0.00086,0.00072,0.00078,0.00078,0.00063,0.00113,0.00235,0.00266,0.00269,0.00275,0.00137,0.00211,0.00268,0.00246,0.00253,0.00302,0.00288,0.00253,0.00298,0.0024,0.00274
0.00079,0.00053,0.00159,0.00201,0.00063,0.00084,0.00078,0.00061,0.00282,0.00022,0.00086,0.00102,0.0008,0.00072,0.00085,0.00072,0.00252,0.0022,0.0023,0.00232,0.00288,0.00284,0.00303,0.00232,0.00263,0.00255,0.00274,0.00301,0.00282,0.00293,0.00268,0.00314
0.00087,0.00026,0.00157,0.00208,0.00063,0.00055,0.00092,0.00086,0.00278,0.00014,0.00085,0.0011,0.00085,0.00089,0.00083,0.00076,0.00113,0.00155,0.0024,0.00238,0.00244,0.00297,0.00289,0.00275,0.00237,0.00275,0.00143,0.00298,0.00219,0.00302,0.00321,0.00287
0.00087,0.00053,0.00155,0.00204,0.00056,0.00061,0.00064,0.00077,0.00277,0.00015,0.00085,0.0009,0.00074,0.00074,0.00079,0.00067,0.00264,0.00233,0.00232,0.00267,0.00296,0.00252,0.00316,0.00249,0.00284,0.00301,0.00246,0.00268,0.00314,0.00332,0.00267,0.00326
0.00091,0.00045,0.00166,0.00145,0.00057,0.00057,0.00082,0.00079,0.00314,0.00014,0.00095,0.00104,0.0008,0.00082,0.00085,0.00074,0.00254,0.00239,0.00242,0.00276,0.00292,0.00268,0.00253,0.00299,0.00306,0.00316,0.00272,0.00311,0.00296,0.00277,0.00272,0.00329
0.00078,0.00053,0.00171,0.00219,0.00048,0.00066,0.00099,0.00074,0.00364,0.00016,0.00081,0.00089,0.00079,0.0007,0.00083,0.00086,0.00237,0.00135,0.00226,0.00243,0.00289,0.00274,0.00243,0.00266,0.00295,0.00263,0.00234,0.00274,0.00277,0.00258,0.00336,0.00326
0.00085,0.00039,0.00162,0.00206,0.00058,0.0006,0.00081,0.00077,0.00409,0.0003,0.00082,0.00115,0.00074,0.00086,0.00084,0.00065,0.00278,0.00271,0.00201,0.00249,0.00265,0.00304,0.00253,0.00321,0.0032,0.0025,0.0028,0.00321,0.00293,0.00271,0.00273,0.00296
0.00076,0.00023,0.00144,0.00182,0.00053,0.00062,0.00078,0.00072,0.00295,0.00019,0.00071,0.00089,0.00078,0.00079,0.00078,0.00074,0.0025,0.00249,0.00204,0.00148,0.00147,0.00322,0.00293,0.00284,0.00318,0.00262,0.00317,0.00278,0.00313,0.00259,0.00299,0.0028
0.000815833,0.000453333,0.00161,0.00196,0.000549167,0.000634167,0.000810833,0.000775833,0.002973333,0.000203333,0.000840833,0.000940833,0.000748333,0.000770833,0.000799167,0.000705833,0.001999167,0.002124167,0.002234167,0.002419167,0.002459167,0.00247,0.002678333,0.002625,0.002635,0.002685833,0.002686667,0.002885,0.002748333,0.0028175,0.002681667,0.0028975
