T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00276,0.00086,0.00208,-0.00003,0.00258,0.00228,0.00008,0.00228,-0.00003,0.00282,0.00017,0.00004,0.00298,-0.00002,0.00011,0.00011,0.00214,0.0026,0.00209,0.0023,0.00243,0.00131,0.00246,0.00279,0.0024,0.00292,0.00321,0.00319,0.0032,0.00294,0.00271,0.00269
0.00274,0.00281,0.00241,0.00011,0.00272,0.00231,0.00007,0.00246,0.00011,0.00272,0.00011,0.00011,0.00294,-0.00001,0.0001,0.0002,0.00258,0.00287,0.00252,0.00245,0.00243,0.00267,0.00307,0.00132,0.00288,0.00308,0.00316,0.00254,0.00263,0.00316,0.00283,0.00294
0.00255,0.00248,0.00298,0.00011,0.00282,0.00275,0.00009,0.00284,0.00008,0.00256,0.00007,0.00008,0.00349,0.00013,0.00004,0,0.00093,0.00232,0.00269,0.00225,0.00325,0.00236,0.00231,0.00297,0.00233,0.00296,0.00272,0.00353,0.00284,0.00307,0.00316,0.00192
0.00225,0.00253,0.00308,-0.00004,0.00157,0.00266,0.00005,0.00094,0.00086,0.00198,0.00009,0.00006,0.00298,-0.00003,0.0001,0.0001,0.00239,0.00276,0.00262,0.00249,0.00266,0.00221,0.00308,0.0035,0.00286,0.00257,0.00338,0.00297,0.00301,0.00262,0.0027,0.00253
0.00225,0.00276,0.00148,0.00004,0.00228,0.00266,0.00011,0.0026,0.00008,0.00279,0.00009,0.00011,0.00339,0.00006,0.0001,0.00012,0.0025,0.00265,0.00143,0.00129,0.00232,0.0013,0.0022,0.00232,0.00243,0.00252,0.00235,0.00234,0.00251,0.00313,0.00297,0.0023
0.00192,0.00245,0.00297,0.00011,0.00288,0.00262,0.00011,0.00226,0.00013,0.00291,0.00017,0.00013,0.0026,0.00013,0.00011,0.00006,0.00268,0.00279,0.00289,0.00128,0.00255,0.00225,0.00255,0.00126,0.00316,0.00318,0.00282,0.0032,0.00334,0.0029,0.00258,0.00295
0.00193,0.00245,0.00276,0.00018,0.00242,0.00249,0.00008,0.00217,0.00011,0.00335,-0.00002,0.00005,0.00261,0.00008,0.00006,0.00011,0.00264,0.00235,0.00311,0.00269,0.00252,0.00315,0.00329,0.00311,0.00254,0.00283,0.00282,0.00304,0.0032,0.00286,0.00298,0.00243
0.00233,0.00192,0.00216,0.00012,0.00247,0.00232,0.00004,0.00284,0.00011,0.00278,0.00012,0.00013,0.00306,0.00013,0.0001,0.0001,0.00102,0.00279,0.00313,0.00255,0.00287,0.00253,0.00265,0.00244,0.00252,0.00296,0.00267,0.0031,0.0027,0.00258,0.00261,0.00288
0.00229,0.00216,0.00209,0.00011,0.00254,0.00131,0.00011,0.00226,-0.00002,0.00321,0.0001,0.00009,0.0027,0.00034,0.00012,0.00011,0.00259,0.00278,0.00316,0.00289,0.00309,0.00254,0.00268,0.00322,0.00255,0.00277,0.00267,0.00293,0.00307,0.00317,0.00338,0.00247
0.00235,0.00241,0.00226,0.00002,0.0021,0.00266,0.00004,0.00266,-0.00002,0.00284,0.0001,0.00011,0.00238,-0.00003,0.00012,0.00012,0.00133,0.00291,0.00309,0.00278,0.00301,0.00262,0.00331,0.00281,0.00274,0.00297,0.00351,0.00317,0.00324,0.00329,0.00289,0.00264
0.00255,0.00231,0.00231,0.00011,0.00253,0.00222,0.00021,0.00237,0.00013,0.00347,0,0.00017,0.0028,0.00013,0.00013,0.00016,0.00232,0.00283,0.00309,0.0025,0.00292,0.00283,0.00265,0.0033,0.00279,0.00213,0.00328,0.00244,0.00262,0.00261,0.00281,0.00173
0.00216,0.00267,0.00251,0.00002,0.00279,0.00275,0.00009,0.00141,0.00004,0.00238,0.00012,0.00011,0.00307,-0.00001,0.00004,0.00011,0.00304,0.00283,0.00285,0.00266,0.00288,0.00275,0.0023,0.0029,0.00275,0.00341,0.00264,0.00282,0.0029,0.00262,0.00261,0.00011
0.00234,0.0023175,0.002424167,7.16667E-05,0.002475,0.002419167,0.00009,0.0022575,0.000131667,0.0028175,9.33333E-05,9.91667E-05,0.002916667,0.000075,9.41667E-05,0.000108333,,,,,,,,,,,,,,,,
