T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0025,0.00029,0.00226,0.00238,0.00232,0.00219,0.00201,0.00019,0.00274,0.00166,0.00289,0.00231,0.00003,0.00034,0.00005,0.00047,0.00229,0.00209,0.00149,0.00132,0.00214,0.00242,0.003,0.0018,0.00306,0.00258,0.00142,0.00304,0.00253,0.00271,0.00255,0.00264
0.00096,0.00028,0.0028,0.00275,0.00227,0.00252,0.00224,0.00016,0.00268,0.00156,0.00323,0.00297,0.00018,0.00092,0.00008,0.00051,0.00289,0.00235,0.00292,0.00139,0.00211,0.00238,0.00321,0.00214,0.00258,0.00238,0.00307,0.0031,0.00281,0.00292,0.00312,0.00306
0.00255,0.00029,0.00248,0.00282,0.00154,0.0021,0.00237,0.00017,0.00269,0.00289,0.00264,0.00285,0.0001,0.00018,0.00018,0.00048,0.0031,0.00218,0.00246,0.00137,0.00241,0.0015,0.00149,0.0027,0.00228,0.0027,0.00293,0.00291,0.00298,0.00282,0.00311,0.00311
0.0031,0.0003,0.0025,0.00137,0.00218,0.00212,0.00208,0.00017,0.00153,0.0024,0.0025,0.00331,0.00018,0.0002,0.00011,0.00052,0.00265,0.00271,0.00153,0.00209,0.00206,0.00144,0.00202,0.00244,0.00239,0.00199,0.00285,0.00301,0.00251,0.0026,0.00291,0.00252
0.00239,0.00017,0.00225,0.00254,0.00168,0.00179,0.00221,0.00021,0.00265,0.00157,0.0024,0.00265,0.00011,0.00015,0.00017,0.00051,0.00196,0.002,0.00225,0.00219,0.00231,0.0014,0.00215,0.00234,0.00229,0.00142,0.00259,0.00217,0.00261,0.00244,0.0029,0.00296
0.00235,0.00025,0.00162,0.00202,0.00166,0.00215,0.00239,0.00021,0.00266,0.00164,0.00267,0.00261,-0.00001,0.00011,0.00007,0.00048,0.00239,0.00102,0.00279,0.00133,0.00285,0.00231,0.0019,0.00203,0.00148,0.00236,0.00287,0.00265,0.00293,0.00278,0.00298,0.0029
0.00301,0.00028,0.00212,0.00135,0.00229,0.00185,0.00258,0.00019,0.00153,0.0024,0.0015,0.00342,0.0001,0.00011,0.00021,0.00051,0.00254,0.00213,0.00156,0.00221,0.00256,0.00144,0.00272,0.00273,0.00236,0.00204,0.00226,0.00225,0.0028,0.00147,0.00274,0.0028
0.00109,0.00019,0.00243,0.0021,0.00168,0.00191,0.00225,0.00007,0.00237,0.00163,0.00242,0.00153,0.00011,0.00011,0.00004,0.00054,0.00266,0.00212,0.00259,0.00236,0.00258,0.0026,0.00247,0.00308,0.00297,0.00237,0.0028,0.00251,0.00279,0.00262,0.0028,0.00321
0.00244,0.00023,0.00251,0.00214,0.00232,0.00235,0.00168,0.00017,0.00156,0.00163,0.00314,0.00152,0,0.00013,0.00007,0.00061,0.00225,0.00212,0.00154,0.00221,0.00269,0.00279,0.00247,0.00276,0.00285,0.00222,0.00332,0.00257,0.00329,0.00282,0.00294,0.00315
0.00222,0.00018,0.00258,0.00222,0.00182,0.00258,0.0023,0.0002,0.00154,0.0016,0.00327,0.00295,0.00018,0.00012,0,0.00051,0.00231,0.00228,0.00242,0.00249,0.00265,0.00249,0.00227,0.00259,0.00283,0.00232,0.00326,0.00258,0.00294,0.00251,0.00296,0.0029
0.00227,0.00018,0.00249,0.00219,0.0026,0.00217,0.00287,0.00015,0.00237,0.00158,0.00261,0.00254,0.00017,0.00011,0.00005,0.00054,0.00147,0.00231,0.00228,0.00259,0.00253,0.00266,0.00268,0.00272,0.00282,0.00228,0.00287,0.00276,0.00299,0.00306,0.00308,0.00337
0.00222,0.00017,0.00271,0.00193,0.00159,0.00207,0.00192,0.00017,0.00244,0.00159,0.0025,0.00302,-0.00001,0.00009,0.00009,0.00051,0.00228,0.00204,0.00249,0.00243,0.00154,0.00251,0.00181,0.00282,0.00103,0.00265,0.00283,0.00312,0.00305,0.00277,0.00253,0.00285
0.002258333,0.000234167,0.002395833,0.002150833,0.001995833,0.00215,0.002241667,0.000171667,0.00223,0.001845833,0.0026475,0.00264,0.000095,0.000214167,9.33E-05,0.000515833,,,,,,,,,,,,,,,,
