T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00104,0.00089,0.00267,0.00149,0.00034,0.00172,0.00285,0.00056,0.00233,0.00059,0.00206,0.00151,0.00073,0.00038,0.00109,0.00365,0.00106,0.0022,0.00279,0.00238,0.00249,0.0027,0.00216,0.00269,0.00251,0.00296,0.00284,0.00268,0.00298,0.00297,0.00258,0.00206
0.00105,0.00079,0.00321,0.00245,0.0003,0.0011,0.0035,0.00057,0.00145,0.00057,0.00308,0.00272,0.00068,0.00053,0.00125,0.00349,0.00249,0.00203,0.00281,0.00267,0.00289,0.00279,0.0027,0.00321,0.00293,0.003,0.00319,0.00263,0.00333,0.00313,0.00276,0.0029
0.00092,0.00085,0.00304,0.0033,0.00026,0.00156,0.00363,0.00053,0.00251,0.00058,0.00363,0.00292,0.00066,0.00041,0.00104,0.00313,0.00234,0.00283,0.00293,0.00308,0.00289,0.0031,0.00304,0.00295,0.00311,0.00316,0.00326,0.0025,0.00304,0.00365,0.00355,0.00294
0.00119,0.00086,0.00267,0.00293,0.00025,0.00124,0.00297,0.00056,0.00261,0.00075,0.00288,0.003,0.00076,0.0005,0.00114,0.00272,0.00233,0.00263,0.00269,0.00269,0.00263,0.00282,0.00127,0.00263,0.00297,0.00323,0.00271,0.00272,0.00306,0.00284,0.0029,0.00223
0.0012,0.00081,0.00172,0.0023,0.00034,0.00157,0.00325,0.00061,0.00276,0.00064,0.00323,0.00265,0.00078,0.00042,0.00105,0.00273,0.00245,0.00221,0.00252,0.00247,0.00267,0.00303,0.00248,0.00297,0.00289,0.003,0.00256,0.0024,0.00312,0.00295,0.00294,0.00277
0.00099,0.00085,0.00277,0.00272,0.00029,0.00101,0.0033,0.00052,0.00276,0.00062,0.00309,0.00289,0.00078,0.00053,0.00122,0.00306,0.00201,0.00226,0.00243,0.00318,0.00286,0.00312,0.00279,0.00301,0.00319,0.00254,0.00309,0.00308,0.00329,0.00348,0.00303,0.00272
0.00118,0.00081,0.00296,0.00098,0.00026,0.00167,0.00266,0.00051,0.00295,0.0006,0.00308,0.00258,0.0008,0.00034,0.00118,0.00338,0.00278,0.00225,0.0026,0.00155,0.00258,0.00154,0.00262,0.00287,0.00279,0.00288,0.00279,0.00095,0.00312,0.00299,0.00307,0.00214
0.0012,0.00077,0.00287,0.00264,0.00018,0.00166,0.00283,0.00048,0.00306,0.00072,0.00308,0.00274,0.00069,0.00035,0.00106,0.00318,0.00202,0.00246,0.00288,0.00308,0.00271,0.00257,0.0028,0.00282,0.00272,0.00328,0.00295,0.00276,0.00298,0.00341,0.00329,0.00288
0.00111,0.00078,0.0032,0.00264,0.00025,0.00168,0.00339,0.00057,0.00296,0.00076,0.00326,0.00309,0.00083,0.00045,0.00111,0.00326,0.00139,0.00289,0.00285,0.00316,0.00367,0.00259,0.00313,0.00326,0.00309,0.00343,0.00331,0.00257,0.00339,0.00366,0.00329,0.00255
0.00111,0.0009,0.00303,0.00318,0.00026,0.00163,0.00328,0.00058,0.00325,0.00074,0.00331,0.00285,0.00073,0.00051,0.00122,0.00328,0.00226,0.00271,0.00299,0.00308,0.00254,0.00227,0.00321,0.00311,0.0031,0.00345,0.00264,0.00287,0.0029,0.00362,0.00253,0.00163
0.00111,0.00087,0.00321,0.00291,0.0003,0.00105,0.00335,0.00048,0.00329,0.00061,0.00274,0.00305,0.00076,0.00047,0.00123,0.00343,0.00152,0.00231,0.00271,0.00278,0.00287,0.00212,0.0025,0.00334,0.00291,0.00307,0.00278,0.00272,0.00304,0.00319,0.00215,0.00336
0.001,0.00078,0.00321,0.00311,0.00041,0.00099,0.00306,0.00051,0.00285,0.00069,0.00306,0.00288,0.00081,0.00034,0.00124,0.00341,0.00258,0.00237,0.00273,0.00317,0.00268,0.00312,0.00314,0.00315,0.00339,0.00319,0.00334,0.00305,0.00332,0.00334,0.00308,0.00322
0.001091667,0.00083,0.00288,0.002554167,0.000286667,0.001406667,0.0031725,0.00054,0.002731667,0.000655833,0.003041667,0.00274,0.000750833,0.000435833,0.0011525,0.003226667,,,,,,,,,,,,,,,,
