T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00094,0.00091,0.00162,0.00256,0.00088,0.00075,0.00154,0.00113,0.00185,0.00136,0.00297,0.00092,0.00097,0.00248,0.00058,0.00295,0.00244,0.00224,0.00156,0.0021,0.00203,0.00221,0.00125,0.00231,0.00253,0.0019,0.00281,0.00219,0.00272,0.00277,0.00229,0.00257
0.0009,0.00101,0.00181,0.00153,0.00085,0.00116,0.00227,0.00108,0.00256,0.00202,0.00246,0.00105,0.00101,0.00226,0.00059,0.00254,0.00266,0.00224,0.00245,0.00269,0.00159,0.00191,0.00167,0.00282,0.0025,0.0029,0.00254,0.0029,0.00228,0.00306,0.00295,0.00248
0.00114,0.00109,0.00181,0.00148,0.00078,0.00124,0.00206,0.00118,0.00245,0.00212,0.00257,0.00122,0.00113,0.00267,0.00067,0.00269,0.00245,0.00261,0.00272,0.00269,0.00261,0.00221,0.00169,0.00289,0.00249,0.00284,0.00287,0.00277,0.00264,0.00308,0.00278,0.00292
0.00099,0.00117,0.00191,0.00243,0.00083,0.0011,0.00184,0.00115,0.0014,0.00202,0.00206,0.00111,0.00119,0.00194,0.00067,0.00253,0.00245,0.00144,0.00259,0.0023,0.00213,0.00213,0.00136,0.00127,0.00228,0.00253,0.00238,0.0024,0.00275,0.00259,0.00307,0.00281
0.00106,0.0011,0.00189,0.0015,0.00081,0.00097,0.00191,0.00118,0.00232,0.00198,0.00188,0.00113,0.00114,0.00272,0.00066,0.00285,0.00245,0.00204,0.00256,0.00241,0.00241,0.00131,0.00157,0.00244,0.00223,0.00189,0.00271,0.00214,0.00256,0.00282,0.00295,0.00265
0.00107,0.00101,0.00168,0.00238,0.00081,0.00119,0.00173,0.00122,0.00137,0.00203,0.00231,0.00104,0.00104,0.00288,0.0006,0.00266,0.00294,0.00141,0.00261,0.00249,0.0025,0.00222,0.00074,0.00237,0.00229,0.00276,0.00271,0.00255,0.00271,0.00299,0.00333,0.0033
0.001,0.00113,0.0016,0.0022,0.00065,0.00111,0.00178,0.00119,0.00145,0.00209,0.00252,0.00113,0.00113,0.0029,0.00079,0.00271,0.00143,0.00262,0.00291,0.00242,0.00261,0.0021,0.0017,0.00248,0.00296,0.00261,0.00276,0.00261,0.00267,0.00275,0.00316,0.00281
0.00096,0.0011,0.00157,0.00215,0.00077,0.00116,0.00202,0.00119,0.00232,0.00219,0.00296,0.00106,0.00113,0.00272,0.00079,0.00259,0.00139,0.00256,0.00276,0.00218,0.00303,0.00237,0.00202,0.00248,0.00296,0.00284,0.00313,0.00296,0.00297,0.00159,0.00287,0.00297
0.00102,0.00115,0.00134,0.00215,0.00087,0.00123,0.00198,0.00115,0.00229,0.00209,0.00271,0.00119,0.00108,0.00259,0.00066,0.00204,0.00212,0.00249,0.00271,0.00245,0.00281,0.00228,0.00206,0.0024,0.00292,0.00303,0.00311,0.00267,0.00282,0.0026,0.00298,0.00349
0.00093,0.00127,0.00172,0.00206,0.00079,0.00124,0.0016,0.00128,0.0029,0.00204,0.0031,0.00112,0.00119,0.00316,0.00077,0.00281,0.00133,0.00159,0.00279,0.00252,0.00287,0.00224,0.00183,0.00229,0.00282,0.00279,0.00238,0.00271,0.00233,0.00344,0.00355,0.0029
0.00106,0.00112,0.00171,0.00205,0.00088,0.00114,0.00208,0.00121,0.00251,0.002,0.00329,0.00118,0.00111,0.00295,0.00066,0.00195,0.00262,0.00237,0.0027,0.00198,0.00295,0.00226,0.00194,0.00222,0.00264,0.00279,0.00304,0.00286,0.0033,0.00298,0.00337,0.00335
0.00085,0.00121,0.00171,0.00234,0.00074,0.0011,0.00192,0.00109,0.00223,0.00218,0.00336,0.00109,0.00114,0.00299,0.00073,0.00277,0.00242,0.00151,0.00237,0.00275,0.00287,0.00225,0.00252,0.00284,0.00286,0.003,0.00315,0.00285,0.00317,0.00317,0.00328,0.00333
0.000993333,0.001105833,0.0016975,0.002069167,0.000805,0.001115833,0.001894167,0.001170833,0.0021375,0.00201,0.0026825,0.001103333,0.001105,0.002688333,0.000680833,0.002590833,,,,,,,,,,,,,,,,
