T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00032,0,0.00156,0.00224,0.00159,0.00033,0.00017,0.00001,0.00108,0.00288,0.00245,0.00255,0.00045,0.00008,0.00018,0.0028,0.00262,0.00222,0.00163,0.00236,0.00199,0.00261,0.00139,0.00229,0.00152,0.00264,0.00294,0.00282,0.00263,0.00305,0.00314,0.00285
0.00038,0.00003,0.00172,0.00227,0.00159,0.00044,0.00013,0.00007,0.002,0.00307,0.00275,0.00309,0.00053,0.00012,0.0001,0.00375,0.00254,0.00181,0.00161,0.0028,0.00227,0.00247,0.00201,0.00229,0.00193,0.00277,0.00322,0.00248,0.00291,0.00299,0.00295,0.0032
0.00028,0.00013,0.0016,0.00249,0.00157,0.00038,0.00017,0.00017,0.00208,0.00272,0.00302,0.00356,0.0005,0.00008,0.00009,0.00354,0.00246,0.00221,0.00142,0.00236,0.00222,0.0023,0.00235,0.00279,0.00203,0.0026,0.00323,0.00287,0.00305,0.00326,0.00323,0.00314
0.0004,-0.00002,0.00145,0.0025,0.00157,0.00031,0.00025,0.00013,0.00184,0.00331,0.00306,0.00305,0.00059,0.00013,0.00004,0.00322,0.00279,0.00199,0.00122,0.00261,0.00229,0.00252,0.00253,0.0026,0.00209,0.00272,0.00318,0.00306,0.00256,0.00314,0.0029,0.00333
0.00032,0.00005,0.00155,0.00249,0.00161,0.00043,0.00014,0.00002,0.00212,0.00288,0.00339,0.00269,0.00047,0.00007,0.00007,0.00288,0.00103,0.00195,0.0016,0.00229,0.0024,0.00233,0.00239,0.00255,0.00197,0.0027,0.00311,0.00302,0.00297,0.00293,0.00305,0.0032
0.0004,0.00013,0.00159,0.00254,0.00146,0.00036,0.0002,-0.00002,0.002,0.00323,0.00217,0.00293,0.00048,0.00011,0.00019,0.00274,0.0023,0.00123,0.00153,0.00234,0.00243,0.00252,0.00272,0.00232,0.00251,0.00249,0.00326,0.00316,0.00324,0.00305,0.00334,0.00344
0.0003,0.00008,0.00144,0.00241,0.0017,0.00034,0.00014,0.00017,0.00229,0.00317,0.00226,0.00315,0.00053,-0.00003,0.00025,0.00363,0.00259,0.0023,0.00136,0.00251,0.00251,0.00267,0.00261,0.00302,0.00233,0.00251,0.00312,0.00326,0.00274,0.00312,0.0033,0.00347
0.00028,0.00001,0.00126,0.00191,0.00163,0.00044,0.00015,0.00011,0.00173,0.00271,0.00293,0.00273,0.00057,0,0.00012,0.00292,0.00225,0.00253,0.00137,0.00271,0.00271,0.00277,0.00268,0.00298,0.0026,0.00274,0.00321,0.00333,0.00316,0.00336,0.00309,0.00345
0.00041,0.00007,0.0016,0.002,0.00158,0.00033,0.00019,0,0.00197,0.00274,0.00305,0.00322,0.00046,0.00002,0.00019,0.00314,0.00243,0.0024,0.00155,0.00282,0.0026,0.00267,0.00304,0.00321,0.00248,0.00282,0.00329,0.00343,0.00335,0.00359,0.003,0.00363
0.00041,-0.00004,0.00156,0.00314,0.00156,0.00032,0.0002,0.00009,0.00211,0.0024,0.00334,0.00335,0.00054,0.00009,0.00017,0.00321,0.00266,0.00224,0.00166,0.00264,0.00288,0.00301,0.00307,0.00316,0.00253,0.00287,0.00331,0.00351,0.00334,0.0036,0.00298,0.00354
0.00039,0.00013,0.00186,0.00152,0.00171,0.00027,0.00017,0.00012,0.00173,0.0025,0.00286,0.00314,0.00045,0.00011,0.00021,0.00272,0.00138,0.00189,0.00148,0.00247,0.0027,0.00275,0.00284,0.00325,0.00234,0.00289,0.00315,0.00352,0.00333,0.00348,0.00286,0.00356
0.00033,0.00011,0.00161,0.00247,0.00163,0.00031,0.00027,0.0001,0.00158,0.0026,0.00308,0.00313,0.00049,0.00011,0.00009,0.00317,0.0013,0.00274,0.00141,0.00281,0.00296,0.00211,0.00287,0.00323,0.00163,0.00262,0.00361,0.00361,0.00352,0.00336,0.00287,0.00364
0.000351667,5.66667E-05,0.001566667,0.002331667,0.0016,0.000355,0.000181667,8.08333E-05,0.0018775,0.002850833,0.002863333,0.003049167,0.000505,7.41667E-05,0.000141667,0.003143333,,,,,,,,,,,,,,,,
