T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0021,0.00045,0.00315,0.00205,0.00172,0.00149,0.0012,0.00146,0.00309,0.00194,0.00189,0.00162,0.00156,0.00301,0.00252,0.00274,0.00256,0.00266,0.0024,0.00205,0.00309,0.00284,0.00262,0.00229,0.00282,0.0026,0.00247,0.00256,0.00278,0.00263,0.0031,0.00292
0.00218,0.00047,0.00294,0.00227,0.00185,0.00207,0.00195,0.00163,0.00271,0.00221,0.00196,0.00174,0.00181,0.00328,0.00293,0.00283,0.00271,0.00278,0.00295,0.00201,0.00232,0.00312,0.00271,0.00241,0.00307,0.0026,0.00294,0.00314,0.00336,0.00278,0.00351,0.00286
0.00214,0.00049,0.00225,0.00214,0.00119,0.00235,0.00129,0.00162,0.0027,0.0024,0.00184,0.00158,0.00182,0.00311,0.0022,0.00242,0.00277,0.00291,0.00313,0.00203,0.00291,0.00302,0.00304,0.00279,0.00301,0.00247,0.00288,0.00326,0.00313,0.0032,0.00336,0.00361
0.00107,0.00032,0.00273,0.00213,0.00169,0.00214,0.00218,0.00157,0.00227,0.00227,0.00204,0.00159,0.00187,0.00342,0.00266,0.00287,0.00255,0.00256,0.00294,0.00223,0.00328,0.00269,0.00254,0.00244,0.00233,0.00222,0.00294,0.00251,0.00296,0.00256,0.00314,0.00301
0.00195,0.00048,0.00256,0.00218,0.00154,0.00216,0.00209,0.00155,0.00296,0.00193,0.00208,0.00105,0.00163,0.00338,0.00259,0.00289,0.00253,0.0026,0.00293,0.00238,0.003,0.00239,0.00269,0.00235,0.00265,0.00223,0.00294,0.00284,0.00329,0.00264,0.00325,0.00326
0.00187,0.0004,0.00298,0.00092,0.00176,0.00234,0.00192,0.00148,0.00274,0.0014,0.00165,0.00165,0.00115,0.00335,0.00257,0.00237,0.00264,0.00279,0.00295,0.00134,0.00241,0.00298,0.00274,0.00233,0.00255,0.00244,0.00281,0.00323,0.00339,0.00305,0.00325,0.00326
0.00171,0.00048,0.00302,0.00265,0.00169,0.00185,0.00217,0.00197,0.00324,0.00241,0.00205,0.00163,0.00156,0.00337,0.00284,0.00282,0.00265,0.0027,0.00312,0.00231,0.00249,0.00213,0.00245,0.0033,0.00255,0.00257,0.00259,0.0029,0.00289,0.00275,0.00302,0.00313
0.0017,0.00045,0.00285,0.00226,0.00176,0.00211,0.00185,0.00149,0.00325,0.0021,0.00219,0.00158,0.00176,0.00305,0.00307,0.00287,0.00259,0.00177,0.0029,0.0018,0.0026,0.00241,0.00301,0.00241,0.00305,0.00302,0.00295,0.00338,0.00266,0.00322,0.00325,0.00327
0.00118,0.00037,0.00359,0.00272,0.0018,0.00236,0.00194,0.00166,0.0029,0.00215,0.00227,0.00178,0.00161,0.00354,0.00283,0.00337,0.00218,0.00281,0.00327,0.00245,0.00289,0.00235,0.00293,0.0024,0.00256,0.00285,0.00286,0.00337,0.00335,0.00301,0.00317,0.00321
0.00203,0.00038,0.00337,0.00116,0.00181,0.00198,0.00219,0.00166,0.00283,0.00234,0.0022,0.00185,0.00173,0.00308,0.00267,0.00341,0.00242,0.00262,0.00311,0.00173,0.00293,0.00271,0.00251,0.00224,0.00268,0.00283,0.00294,0.0032,0.00293,0.00327,0.00298,0.00318
0.00115,0.00039,0.00333,0.00202,0.00174,0.00165,0.00228,0.00143,0.00331,0.0025,0.00194,0.00162,0.00179,0.00321,0.00311,0.00331,0.00238,0.00254,0.00332,0.00215,0.00299,0.00262,0.00283,0.0024,0.0027,0.00313,0.00256,0.00338,0.00351,0.00338,0.00328,0.00271
0.00189,0.00039,0.00251,0.00234,0.00185,0.00179,0.00187,0.00142,0.00302,0.00243,0.00114,0.0014,0.00184,0.00346,0.00306,0.00318,0.00196,0.00282,0.00298,0.00221,0.00318,0.00292,0.00258,0.00216,0.00249,0.00278,0.00294,0.0033,0.00324,0.0034,0.00326,0.00288
0.0017475,0.0004225,0.00294,0.00207,0.0017,0.002024167,0.001910833,0.001578333,0.002918333,0.002173333,0.0019375,0.001590833,0.0016775,0.003271667,0.002754167,0.002923333,,,,,,,,,,,,,,,,
