T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,Mec,GMc,MNc,Gec,Nec,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00311,0.00308,0.00332,0.00344,0.00354,0.00349,0.00353,0.00359,0.00359,0.00354,0.00347,0.00351,0.00336,0.00328,0.00261,0.00331,0.00321,0.00378,0.0031,0.00321,0.00346,0.00308,0.00368,0.0032,0.0037,0.00375,0.00313,0.00382,0.00445,0.00401,0.00399,0.00322
0.00263,0.00409,0.00389,0.00427,0.00395,0.00397,0.00393,0.00417,0.00438,0.00446,0.0046,0.00407,0.00386,0.004,0.00426,0.00273,0.00333,0.004,0.00363,0.00416,0.00373,0.00404,0.00379,0.00362,0.0042,0.00417,0.00407,0.00387,0.00406,0.00417,0.00428,0.00275
0.00279,0.0037,0.00389,0.00407,0.00421,0.00371,0.00399,0.00354,0.00426,0.00404,0.00398,0.00422,0.00443,0.0042,0.00376,0.00292,0.00327,0.00413,0.00369,0.0039,0.00297,0.00407,0.00342,0.00347,0.00372,0.00394,0.00372,0.00361,0.00411,0.00455,0.00405,0.00324
0.003,0.00422,0.00321,0.0038,0.00337,0.00337,0.00352,0.00345,0.00426,0.00405,0.00375,0.00382,0.00433,0.00409,0.00401,0.00298,0.00335,0.00362,0.00329,0.00398,0.00331,0.00306,0.00385,0.00382,0.00365,0.00415,0.00359,0.00359,0.0039,0.00464,0.00412,0.00383
0.00307,0.00402,0.00376,0.00289,0.00358,0.00318,0.00411,0.00344,0.00398,0.00365,0.00351,0.00388,0.00404,0.00422,0.00381,0.00288,0.00321,0.00358,0.00353,0.00318,0.00325,0.00298,0.0029,0.00365,0.00345,0.00363,0.0039,0.00361,0.00401,0.00435,0.00396,0.00265
0.00292,0.0043,0.00394,0.00384,0.00331,0.00366,0.00339,0.00369,0.00375,0.00345,0.00378,0.0036,0.00425,0.00415,0.0039,0.00299,0.00321,0.00395,0.00347,0.00362,0.00341,0.00311,0.00398,0.00361,0.00379,0.00394,0.00405,0.00406,0.00419,0.00457,0.00408,0.00335
0.00323,0.00388,0.00359,0.00327,0.00332,0.00357,0.00347,0.0029,0.0034,0.00355,0.00339,0.00351,0.00389,0.00437,0.00433,0.00252,0.00343,0.00347,0.00386,0.00369,0.00368,0.00372,0.00352,0.00362,0.00376,0.00381,0.00393,0.00403,0.00408,0.00442,0.00411,0.00351
0.00304,0.0039,0.00356,0.00355,0.00367,0.00336,0.00305,0.00373,0.00393,0.00333,0.00365,0.00409,0.0042,0.00398,0.00418,0.00303,0.00337,0.00403,0.00382,0.00323,0.00369,0.00333,0.00356,0.00382,0.00382,0.00371,0.00366,0.00419,0.00421,0.00437,0.00407,0.00334
0.00287,0.0042,0.00373,0.00375,0.0033,0.00368,0.00407,0.00342,0.00351,0.00394,0.0038,0.00369,0.00385,0.00403,0.00426,0.00291,0.00301,0.00343,0.00369,0.00352,0.00365,0.00373,0.00378,0.00399,0.00405,0.00403,0.00399,0.00429,0.00407,0.00437,0.00361,0.00333
0.00333,0.0045,0.00345,0.004,0.00358,0.00321,0.00331,0.00321,0.00338,0.00401,0.00332,0.00348,0.00427,0.00439,0.00414,0.00326,0.00291,0.00404,0.00367,0.00417,0.0043,0.00413,0.00357,0.00363,0.00414,0.00417,0.00432,0.00431,0.00402,0.00395,0.00377,0.0028
0.00306,0.00396,0.00323,0.00394,0.00377,0.00323,0.00389,0.00368,0.00377,0.00387,0.00347,0.00357,0.00381,0.00437,0.00403,0.00292,0.0027,0.0039,0.00354,0.0041,0.00374,0.00412,0.00345,0.00421,0.00389,0.00417,0.00417,0.00424,0.00406,0.00417,0.004,0.00298
0.00336,0.00421,0.00322,0.00364,0.00355,0.0033,0.00331,0.00363,0.00354,0.00393,0.00447,0.00395,0.00361,0.00448,0.00389,0.00302,0.00292,0.00308,0.00312,0.00317,0.00323,0.00364,0.00278,0.00298,0.00378,0.0033,0.00354,0.00351,0.00318,0.00305,0.00289,0.00248
0.003034167,0.004005,0.003565833,0.003705,0.003595833,0.0034775,0.003630833,0.0035375,0.0038125,0.003818333,0.003765833,0.0037825,0.003991667,0.00413,0.003931667,0.002955833,,,,,,,,,,,,,,,,
