T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0002,0.00022,0.00207,0.00271,0.00033,0.00027,0.00275,0.00016,0.00256,0.00029,0.00298,0.00266,0.00012,0.00022,0.00058,0.00272,0.00243,0.00278,0.00223,0.00291,0.00248,0.0027,0.00251,0.00269,0.00274,0.00281,0.0027,0.00286,0.00298,0.0031,0.00322,0.00252
0.00022,0.00023,0.00279,0.00322,0.00017,0.00035,0.00337,0.00022,0.00329,0.0003,0.00347,0.00314,0.00019,0.0002,0.00091,0.00268,0.00245,0.00307,0.00276,0.00305,0.00327,0.00252,0.00284,0.00306,0.00257,0.00333,0.00292,0.00328,0.00292,0.00345,0.00359,0.00266
0.00023,0.00022,0.00236,0.00302,0.00017,0.00062,0.00298,0.00022,0.00318,0.00049,0.00374,0.00351,0.00005,0.00008,0.00092,0.0025,0.00227,0.00305,0.00242,0.00288,0.00312,0.00308,0.00238,0.00257,0.00271,0.0027,0.00297,0.00328,0.00286,0.0036,0.00342,0.00216
0.0003,0.00022,0.00231,0.00266,0.00022,0.00065,0.00322,0.00022,0.00275,0.00058,0.00331,0.00306,0.00008,0.00004,0.00109,0.00255,0.00217,0.00282,0.00247,0.00265,0.00312,0.00322,0.00231,0.00232,0.00285,0.00254,0.003,0.00267,0.00286,0.00351,0.00333,0.00251
0.00013,0.00023,0.00208,0.00308,0.00017,0.00071,0.00282,0.00019,0.00236,0.00038,0.00323,0.00304,0.00009,0.00006,0.00111,0.00144,0.00081,0.00273,0.00255,0.00183,0.00272,0.00247,0.00207,0.00231,0.00264,0.00253,0.00309,0.00316,0.00289,0.00333,0.0033,0.00271
0.00021,0.00019,0.00185,0.0032,0.00022,0.0008,0.00361,0.00011,0.00279,0.00053,0.00397,0.00292,0.0001,0.00007,0.00108,0.00162,0.00214,0.00271,0.00245,0.00262,0.00265,0.00258,0.00224,0.00234,0.0025,0.00265,0.0031,0.00286,0.00328,0.00345,0.00324,0.00148
0.0002,0.00022,0.00229,0.00279,0.00021,0.00074,0.0026,0.00014,0.00303,0.00053,0.00378,0.00266,0.0001,0.00003,0.00103,0.00243,0.00146,0.00289,0.00279,0.00274,0.00342,0.00259,0.00261,0.00287,0.00283,0.00274,0.00303,0.00294,0.00321,0.00344,0.00314,0.00149
0.00022,0.00021,0.0023,0.00267,0.00022,0.00078,0.00259,0.0001,0.00264,0.00053,0.00365,0.00272,0.00019,0.00012,0.00111,0.00249,0.00224,0.00264,0.00235,0.00265,0.00314,0.00234,0.00271,0.00251,0.00255,0.00282,0.00312,0.00316,0.00315,0.00343,0.00313,0.00219
0.00022,0.00021,0.00216,0.00293,0.00016,0.00062,0.00281,0.00017,0.00252,0.00054,0.00375,0.0027,0.00007,0.00015,0.0011,0.0022,0.00234,0.00321,0.00274,0.00245,0.00237,0.00309,0.00247,0.00243,0.0027,0.00289,0.00311,0.00312,0.00302,0.00306,0.0033,0.00218
0.00016,0.00013,0.00208,0.00323,0.00017,0.00081,0.00337,0.0002,0.00277,0.00046,0.0034,0.0028,0.0002,0.00009,0.00111,0.00242,0.00159,0.00263,0.00254,0.00277,0.00342,0.00309,0.00248,0.00302,0.00286,0.00288,0.00331,0.00321,0.00303,0.00338,0.00342,0.00241
0.00021,0.00013,0.00239,0.00296,0.00017,0.00072,0.00295,0.00017,0.00252,0.0005,0.00383,0.00282,0.0001,0.00012,0.00102,0.00271,0.00284,0.00274,0.0026,0.00306,0.00293,0.00293,0.00289,0.00235,0.00243,0.00276,0.00308,0.00308,0.00333,0.00307,0.00305,0.00268
0.00006,0.00023,0.00192,0.00279,0.00017,0.00082,0.00299,0.00022,0.00273,0.00042,0.00368,0.00293,0.00009,0.00019,0.00126,0.0022,0.00238,0.00244,0.00253,0.00251,0.00306,0.00278,0.0025,0.00227,0.00243,0.00274,0.00299,0.00314,0.00268,0.00254,0.00155,0.0019
0.000196667,0.000203333,0.002216667,0.002938333,0.000198333,0.0006575,0.003005,0.000176667,0.002761667,0.0004625,0.003565833,0.002913333,0.000115,0.000114167,0.001026667,0.00233,,,,,,,,,,,,,,,,
