T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00002,0.00019,0.00024,0.00301,0.00019,0.00021,0.00269,0.00033,0.00307,0.00042,0.00308,0.00326,0.0002,0.00017,0.00012,0.00233,0.00256,0.00288,0.00238,0.00312,0.00274,0.00313,0.00271,0.00276,0.00326,0.00259,0.00251,0.00359,0.00361,0.00401,0.00321,0.00241
0.00014,0.00022,0.00015,0.00391,0.00022,0.0002,0.00371,0.00012,0.00378,0.0005,0.00349,0.00401,0.00018,0.0002,0.00023,0.00255,0.00302,0.00302,0.00211,0.00315,0.00326,0.00296,0.00278,0.00339,0.00347,0.00235,0.00275,0.00329,0.00353,0.0039,0.00311,0.00228
0.00013,0.00024,0.00019,0.00353,0.00019,0.00019,0.00339,0.00022,0.00361,0.00061,0.00357,0.00388,0.00015,0.00025,0.00018,0.00244,0.00324,0.00341,0.00199,0.00311,0.00299,0.00301,0.00271,0.00303,0.00276,0.00274,0.00283,0.00364,0.00393,0.00391,0.0036,0.00232
0.00024,0.00022,0.00017,0.00338,0.00013,0.00024,0.00277,0.00022,0.00362,0.00094,0.00367,0.00379,0.00016,0.00019,0.00022,0.0026,0.00278,0.0032,0.00215,0.00337,0.00286,0.00337,0.00251,0.00306,0.00313,0.00269,0.0031,0.00368,0.00357,0.00371,0.00359,0.00255
0.00022,0.00024,0.00017,0.00352,0.00022,0.00016,0.00364,0.00018,0.00326,0.00079,0.00333,0.00382,0.00019,0.00006,0.00024,0.00275,0.00284,0.00295,0.00189,0.003,0.00268,0.00294,0.00245,0.00287,0.00272,0.0025,0.0024,0.00311,0.00319,0.00355,0.0034,0.00269
0.00019,0.00022,0.00012,0.00348,0.00015,0.00019,0.00314,0.00007,0.00362,0.00069,0.0032,0.00366,0.00022,0.00024,0.00022,0.00352,0.00309,0.00305,0.00187,0.00292,0.00309,0.00333,0.00277,0.00335,0.00378,0.00231,0.00292,0.00335,0.00345,0.00389,0.00309,0.0028
0.00017,0.00022,0.00027,0.00308,0.00003,0.00009,0.00251,0.00022,0.00276,0.00084,0.00354,0.00365,0.00024,0.00025,0.00024,0.00168,0.00314,0.00355,0.00208,0.00352,0.0033,0.00307,0.00257,0.00339,0.00323,0.00227,0.00284,0.00307,0.00349,0.00399,0.00305,0.00272
0.00024,0.00021,0.0002,0.00346,0.00001,0.00023,0.00293,0.00019,0.00362,0.00093,0.0034,0.00343,0.00024,0.0002,0.00009,0.00288,0.00288,0.00362,0.00208,0.00319,0.00317,0.00346,0.00292,0.00257,0.00351,0.00246,0.0031,0.00344,0.00359,0.00389,0.00332,0.00255
0.0002,0.00019,0.00018,0.00356,0.00017,0.00024,0.00314,0.00018,0.00274,0.00083,0.00361,0.0035,0.00005,0.00011,0.00024,0.00172,0.00238,0.00361,0.00212,0.00362,0.00337,0.00361,0.003,0.00348,0.00313,0.00284,0.00335,0.00358,0.00391,0.00402,0.00353,0.00261
0.00008,0.00024,0.00022,0.00336,0.00012,0.00024,0.00252,0.00022,0.00326,0.00131,0.00298,0.00361,0.0002,0.00022,0.00017,0.00282,0.002,0.00371,0.00197,0.00345,0.00362,0.00364,0.00334,0.00372,0.00376,0.00272,0.00342,0.00377,0.0037,0.00414,0.00306,0.00278
0.00012,0.00017,0.00022,0.00368,0.00019,0.00019,0.00274,0.00017,0.0036,0.00095,0.00316,0.00327,0.00003,0.0002,0.00022,0.00256,0.00268,0.00303,0.00193,0.00341,0.00337,0.00326,0.00323,0.00301,0.00319,0.00274,0.00322,0.00342,0.00371,0.00345,0.00332,0.0026
0.00008,0.00021,0.00019,0.00349,0.00019,0.00019,0.00275,0.00017,0.00329,0.00093,0.00328,0.0036,0.00009,0.00019,0.00017,0.00249,0.00132,0.002,0.00165,0.00369,0.00268,0.00307,0.0026,0.00295,0.00316,0.00256,0.00331,0.00304,0.00379,0.00311,0.00304,0.00301
0.0001525,0.000214167,0.000193333,0.003455,0.000150833,0.0001975,0.002994167,0.000190833,0.0033525,0.000811667,0.003359167,0.003623333,0.0001625,0.00019,0.000195,0.002528333,,,,,,,,,,,,,,,,
