T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00012,0.00025,0.00013,0.00009,0.00008,0.00013,0.00009,0.00172,0.00009,0.00002,0.00009,0.00014,0.00094,-0.00001,0.00012,0.00014,0.00237,0.00197,0.00261,0.00236,0.00242,0.00243,0.00257,0.00257,0.00279,0.00237,0.0028,0.00296,0.00241,0.00307,0.00255,0.00291
-0.00001,0.00025,0.00009,-0.00002,0,0.00013,0.00005,0.00162,-0.00001,0.00013,0,-0.00002,0.00077,0.00012,0,0.00012,0.00263,0.00228,0.00286,0.00278,0.00218,0.00273,0.00138,0.00245,0.00291,0.00293,0.00292,0.00286,0.00256,0.00299,0.00291,0.0031
0.00012,0.00026,-0.00002,-0.00001,0.00009,0,0.00013,0.00154,-0.00002,0.00007,0.00004,0.00009,0.00079,0.00009,0,0.00012,0.00279,0.00214,0.00273,0.00285,0.00265,0.00279,0.00265,0.00262,0.00269,0.00287,0.00317,0.00292,0.0025,0.00286,0.0027,0.00296
-0.00003,0.00038,0.00007,-0.00001,-0.00004,0.00004,0.00009,0.00154,0.00009,0.00009,0,0.00009,0.00084,0.00014,0.00012,-0.00002,0.00241,0.00191,0.00247,0.00308,0.00232,0.0027,0.00222,0.00262,0.0026,0.00289,0.00288,0.00292,0.00313,0.00286,0.00234,0.00304
-0.00001,0.00026,0.00014,0.00013,0,0.00009,-0.00003,0.00164,0.00014,-0.00001,-0.00004,0.00009,0.00089,0,-0.00001,0,0.0023,0.00162,0.00238,0.00271,0.00231,0.00255,0.00214,0.00212,0.00262,0.00278,0.00288,0.00304,0.00301,0.00315,0.00277,0.00319
0.00009,0.00024,-0.00003,0.00011,-0.00003,0.00014,0.00007,0.00159,0.00009,0.00009,0.00009,0.00004,0.00076,-0.00001,0.00009,0.00014,0.00257,0.00125,0.00226,0.00243,0.00236,0.00283,0.0024,0.00218,0.00285,0.00293,0.00302,0.00327,0.00334,0.00348,0.00248,0.00338
0.00014,0.00026,-0.00001,0,0,-0.00001,0.00001,0.00151,0.00003,0.00012,0.00004,-0.00001,0.00077,0.00009,-0.00002,0,0.00269,0.00207,0.00237,0.00256,0.00259,0.0027,0.00265,0.00248,0.00279,0.00313,0.00305,0.00296,0.00309,0.0029,0.00302,0.00333
0.00009,0.00023,0.00013,0.00001,0.00008,-0.00001,0,0.00155,0.00013,-0.00002,-0.00003,-0.00002,0.00074,0.00009,0.00002,0.00014,0.00254,0.00219,0.00238,0.00264,0.00262,0.00011,0.0027,0.00264,0.00305,0.0032,0.00299,0.00311,0.00279,0.00305,0.00244,0.00278
-0.00001,0.00033,0.00009,0.00013,0,-0.00004,0.00009,0.00156,0.00012,0.00009,-0.00003,0.00014,0.00086,0.00009,0.00009,-0.00001,0.00243,0.0021,0.00265,0.0026,0.00275,0.00284,0.0024,0.00274,0.00307,0.00305,0.00333,0.00311,0.00313,0.00331,0.00277,0.00274
0.00014,0.00027,0,-0.00002,0.00009,0.00009,-0.00003,0.00168,-0.00001,-0.00005,0.00014,-0.00001,0.00084,0.00014,0,0.00014,0.00268,0.00219,0.00257,0.00269,0.00287,0.00262,0.00279,0.00293,0.00289,0.00315,0.0034,0.00298,0.00302,0.00302,0.00295,0.00333
-0.00002,0.00027,0,0.00009,0.00009,0.00014,-0.00001,0.0016,0.00009,-0.00002,0.00012,0.00001,0.00073,-0.00002,0.00007,-0.00001,0.00241,0.002,0.00268,0.00253,0.00267,0.00232,0.00283,0.00278,0.00293,0.00286,0.00297,0.00283,0.0031,0.0025,0.00292,0.00302
0.00008,0.00025,0.00009,0.00013,0.00013,0,0.00017,0.00161,0.00009,-0.00004,0.00004,0.00009,0.00082,-0.00001,0.00012,0.00014,0.00233,0.00216,0.00259,0.00207,0.00304,0.00229,0.00259,0.00268,0.00259,0.00212,0.00302,0.00292,0.00263,0.0031,0.00271,0.00325
5.83E-05,0.000270833,5.67E-05,0.0000525,4.08E-05,5.83E-05,0.0000525,0.001596667,6.92E-05,3.92E-05,3.83E-05,0.0000525,0.0008125,5.92E-05,0.00005,0.000075,,,,,,,,,,,,,,,,
