T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00006,0.00004,0.00018,0.00004,0.00007,0.00008,0.0001,0.00016,0.00041,0.0002,0.00005,0.00006,0.00006,0.00006,0.00001,0.00004,0.00082,0.00062,0.00074,0.0008,0.0006,0.00081,0.00085,0.00085,0.00088,0.00074,0.00096,0.0007,0.00079,0.00091,0.00065,0.00057
0.00006,0.00012,0.00018,0.00004,0.00003,0.00004,0.0001,0.0001,0.00055,0.00004,0.00011,0.00006,0.00004,0.00002,0,0.00011,0.00085,0.00075,0.00081,0.00092,0.00069,0.00078,0.0009,0.00073,0.00097,0.00078,0.00108,0.00065,0.001,0.00106,0.00055,0.00066
0.00017,0.00007,0.00013,0.00006,0.00009,0.00005,0.00012,-0.00001,0.00043,0.00003,0.00005,0.00006,0.0001,0.0001,0,0.00011,0.00089,0.00077,0.00086,0.001,0.00069,0.0009,0.00107,0.00083,0.00098,0.00085,0.0012,0.00072,0.0011,0.0012,0.00104,0.00083
0.00017,0.00007,0.0001,0.00005,0.0001,0.00012,0.00001,0.00005,0.00046,0.00005,0.00012,0.00006,0.00017,0.00005,0,0.00003,0.0009,0.00074,0.00059,0.00088,0.00067,0.00088,0.00094,0.00069,0.0008,0.00075,0.00102,0.00057,0.00087,0.00093,0.00065,0.00066
0.00006,0.00006,0.00021,0.00023,0.00004,0.00006,0.00011,0.00004,0.00045,0.00011,0.00005,0.0001,0.00004,0.00005,0.00011,0.00016,0.00085,0.00071,0.00075,0.0008,0.00066,0.00084,0.00107,0.00073,0.00082,0.00064,0.00104,0.0006,0.00084,0.00096,0.00068,0.00053
0.00004,0.00016,0.00014,0.00005,0,0.00009,0.00004,0.00005,0.00047,0.00005,0.00004,0.00012,0.00016,0.00003,0.00009,0.00006,0.00083,0.00073,0.00079,0.00099,0.00071,0.00088,0.0008,0.00082,0.00091,0.00069,0.00117,0.00055,0.00105,0.00104,0.00065,0.00081
0.00004,0.00007,0.0001,0.00005,0.00004,0.00001,0.00011,0.00001,0.00045,0.00007,0.0002,0.00006,0.00006,0.00002,0.00002,0.00008,0.00078,0.0007,0.00072,0.00097,0.00061,0.00091,0.00091,0.00075,0.00066,0.00076,0.00095,0.00066,0.001,0.00089,0.0008,0.00077
0.00006,0.00007,0.00026,0.00004,0.00008,0.00007,0.00004,0.0001,0.00055,0.00005,0,0.00002,0.00003,-0.00001,0.00003,0.0001,0.00085,0.00068,0.00074,0.00085,0.00058,0.00083,0.0011,0.00067,0.00083,0.00072,0.00105,0.0007,0.00095,0.00071,0.00075,0.00058
0.00005,0.00005,0.00011,0.00006,0,0.00006,0.00002,0.00011,0.00039,0.00006,0.00012,0.00005,0.00007,0.0001,0.00004,0.00005,0.00083,0.00069,0.00075,0.00095,0.00063,0.00101,0.00075,0.00082,0.0009,0.00065,0.00121,0.00085,0.00114,0.00114,0.0007,0.00094
0.00003,0.00006,0.0001,0.00006,0.00003,0.00001,-0.00003,0.0001,0.00049,0.00006,0.00003,0.00001,0.00017,0.00003,0.00011,0.00002,0.00086,0.00071,0.00067,0.00094,0.0007,0.00086,0.00079,0.00077,0.00101,0.00085,0.00112,0.00085,0.00053,0.00074,0.00078,0.00057
0.0001,0.00017,0.00018,0.00005,0.00002,0.00008,0.00012,-0.00001,0.00042,0.00009,0.00011,0.00006,0.00005,0.00006,0.00005,-0.00006,0.00085,0.00077,0.00069,0.00116,0.00068,0.00087,0.00086,0.00081,0.00098,0.00069,0.00098,0.00087,0.00092,0.00077,0.00054,0.00076
0.00004,0.0001,0.00011,0.00005,0.00012,0.0001,0.00002,-0.00001,0.0004,0.00003,0.00012,0.00012,0.00007,0.0001,0.00012,0.0001,0.00092,0.00058,0.00073,0.00105,0.00061,0.00105,0.00107,0.00082,0.00092,0.00079,0.0012,0.00101,0.00126,0.00127,0.00083,0.00103
7.33E-05,8.67E-05,0.00015,0.000065,5.17E-05,6.42E-05,6.33E-05,0.0000575,0.000455833,0.00007,8.33E-05,0.000065,0.000085,5.08E-05,4.83E-05,6.67E-05,,,,,,,,,,,,,,,,
